Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-74.255043,-75.395561,437771.599066,-1552744.126927,-6150045.924351,0.044812,5.651942
1,-74.255043,-75.395561,300775.178285,-1584989.775608,-6150045.924351,0.044812,5.651942
2,-74.255043,-75.395561,369625.189954,-1570361.587535,-6150045.924351,0.044812,2.825971
3,-74.255043,-75.395561,446078.248005,-2099541.817987,-5985990.290433,0.044812,2.825971
4,-74.255043,-75.395561,403794.486663,-1561924.552978,-6150045.924351,0.044812,1.412985
5,-74.255043,-75.395561,378159.377786,-1287367.186879,-6214501.847604,0.044812,1.412985
6,-74.255043,-75.395561,406153.153274,-1278811.324999,-6214501.847604,0.044812,1.412985
7,-74.255043,-75.395561,424249.752851,-1415672.752575,-6183753.237309,0.044812,0.706493
8,-74.255043,-75.395561,431583.107113,-1484193.404100,-6167268.394425,0.044812,0.353246
9,-74.255043,-75.395561,440517.934032,-1534409.234541,-6154420.577676,0.044812,0.327856
10,-74.255043,-75.395561,431978.792403,-1510488.029588,-6160896.294637,0.044812,0.321195
11,-74.255043,-75.395561,433325.578971,-1507903.258048,-6161431.262118,0.044812,0.225022
12,-74.255043,-75.395561,435606.420130,-1530323.252138,-6155778.224588,0.044812,0.112511
13,-74.253822,-75.312553,440237.410549,-1561362.812565,-6147703.191063,0.026295,0.138680
14,-74.253822,-75.312553,442263.375743,-1583781.596290,-6141859.676764,0.026295,0.138680
15,-74.253822,-75.312553,444705.074511,-1592394.552907,-6139471.959643,0.026295,0.138680
16,-74.288918,-75.199028,442599.317118,-1573428.880633,-6144478.164082,0.024498,0.133162
17,-74.020821,-75.718437,434507.483424,-1517388.533500,-6159035.049630,0.017808,0.252721
18,-74.055916,-75.604912,435222.124545,-1513508.293469,-6159933.216854,0.017194,0.252721
19,-73.537270,-76.586967,420620.938421,-1423391.826498,-6182239.174633,0.014052,0.498410
20,-73.537270,-76.586967,423234.426153,-1435470.631078,-6179287.183610,0.014052,0.498410
21,-73.304268,-76.992851,413733.041611,-1379417.351515,-6192593.693292,0.013805,0.252721
22,-73.269173,-77.106377,404630.826049,-1333267.192657,-6203222.425184,0.013206,0.252721
23,-73.269173,-77.106377,415890.384699,-1395363.081875,-6188900.479697,0.013206,0.126361
24,-73.269173,-77.106377,414015.119584,-1385335.448281,-6191262.567771,0.013206,0.121114
25,-73.138720,-77.376190,405613.153547,-1338280.888716,-6202086.197099,0.011313,0.201545
26,-73.138720,-77.376190,402468.460152,-1320284.071531,-6206119.783232,0.011313,0.201545
27,-73.138720,-77.376190,396828.369483,-1291234.079169,-6212548.382703,0.011313,0.201545
28,-73.138720,-77.376190,400667.141406,-1311992.216117,-6207981.968568,0.011313,0.200281
29,-73.046957,-77.542587,402468.460152,-1320284.071531,-6206119.783232,0.010329,0.201545
30,-73.445507,-76.753365,417749.951445,-1405390.461685,-6186521.890557,0.010246,0.380037
31,-73.461257,-76.691547,419275.541265,-1411943.822526,-6184936.966811,0.009014,0.432268
32,-74.266232,-75.082193,446640.313460,-1585386.170110,-6141133.815268,0.008527,0.863358
33,-74.266232,-75.082193,440985.286851,-1545312.658591,-6151676.902445,0.008527,0.768828
34,-74.266232,-75.082193,443848.354132,-1565350.789126,-6146437.807872,0.008527,0.384414
35,-74.266232,-75.082193,458395.262678,-1672023.842411,-6117404.019541,0.008527,0.384414
36,-74.258357,-75.113102,445953.708423,-1582115.850702,-6142021.059214,0.008183,0.431679
37,-73.449445,-76.737910,418131.730226,-1407028.869826,-6186126.338268,0.007369,0.863063
38,-73.449445,-76.737910,439839.911808,-1539995.478599,-6153082.654243,0.007369,0.773312
39,-73.251154,-77.128658,390140.220491,-1256267.338375,-6220085.774055,0.007061,0.773312
40,-73.251154,-77.128658,414480.893144,-1385956.148381,-6191093.623033,0.007061,0.386656
41,-73.251154,-77.128658,412626.748483,-1375419.946525,-6193550.129521,0.007061,0.193328
42,-73.251154,-77.128658,413653.064109,-1381097.693216,-6192226.968026,0.007061,0.187299
43,-73.251154,-77.128658,412208.864306,-1372990.764239,-6194113.115007,0.007061,0.093650
44,-73.251154,-77.128658,411482.562147,-1368937.332090,-6195052.166217,0.007061,0.046825
45,-73.251154,-77.128658,411611.929232,-1369647.043360,-6194887.810176,0.007061,0.046440
46,-73.251154,-77.128658,411183.175970,-1367265.480165,-6195438.635838,0.007061,0.023220
47,-73.251154,-77.128658,411280.359609,-1367797.762400,-6195315.521891,0.007061,0.023172
48,-73.251154,-77.128658,411264.165619,-1367709.048675,-6195336.044099,0.007061,0.023160
49,-73.251154,-77.128658,411008.981279,-1366296.485712,-6195662.452670,0.007061,0.011580
50,-73.251154,-77.128658,410992.764903,-1366207.772147,-6195682.953112,0.007061,0.011580
51,-73.251154,-77.128658,411060.650855,-1366583.090975,-6195596.260372,0.007061,0.007554
52,-73.251154,-77.128658,410685.464820,-1364508.607886,-6196075.123909,0.007061,0.007554
53,-73.251154,-77.128658,410873.149022,-1365545.848599,-6195835.780004,0.007061,0.003777
54,-73.251154,-77.128658,410804.817897,-1365167.972314,-6195922.993981,0.007061,0.002010
55,-73.251154,-77.128658,410779.140070,-1365025.949010,-6195955.766306,0.007061,0.001005
56,-73.251154,-77.128658,410796.132585,-1365119.778528,-6195934.113390,0.007061,0.001005
57,-73.251154,-77.128658,410770.453594,-1364977.755235,-6195966.884597,0.007061,0.001005
58,-73.251154,-77.128658,410744.866028,-1364836.371484,-6195999.506338,0.007061,0.000609
59,-73.251154,-77.128658,410761.956394,-1364930.840484,-6195977.710146,0.007061,0.000304
60,-73.251154,-77.128658,410756.633599,-1364901.438829,-6195984.494204,0.007061,0.000175
61,-73.251154,-77.128658,410755.046216,-1364892.682283,-6195986.514776,0.007061,0.000088
62,-73.251154,-77.128658,410755.723434,-1364896.437429,-6195985.648510,0.007061,0.000054
63,-73.251154,-77.128658,410754.252520,-1364888.304010,-6195987.525058,0.007061,0.000027
64,-73.251154,-77.128658,410753.855671,-1364886.114874,-6195988.030197,0.007061,0.000014
65,-73.251154,-77.128658,410753.798785,-1364885.802287,-6195988.102341,0.007061,0.000013
66,-73.251154,-77.128658,410753.685013,-1364885.177112,-6195988.246627,0.007061,0.000013
67,-73.251154,-77.128658,410753.571917,-1364884.551425,-6195988.390982,0.007061,0.000007
68,-73.251154,-77.128658,410753.741899,-1364885.489699,-6195988.174484,0.007061,0.000007
69,-73.251154,-77.128658,410753.628803,-1364884.864012,-6195988.318838,0.007061,0.000007
70,-73.251154,-77.128658,410753.345724,-1364883.300051,-6195988.679690,0.007061,0.000007
71,-73.251154,-77.128658,410753.543812,-1364884.394875,-6195988.427087,0.007061,0.000003
72,-73.251154,-77.128658,410753.501316,-1364884.160306,-6195988.481211,0.007061,0.000002
73,-73.251154,-77.128658,410753.480068,-1364884.043022,-6195988.508274,0.007061,0.000001
74,-73.251154,-77.128658,410753.469444,-1364883.984380,-6195988.521805,0.007061,0.000000
75,-73.251154,-77.128658,410753.451752,-1364883.886632,-6195988.544358,0.007061,0.000000
76,-73.251154,-77.128658,410753.441128,-1364883.827990,-6195988.557889,0.007061,0.000000
77,-73.251154,-77.128658,410753.449974,-1364883.876864,-6195988.546612,0.007061,0.000000
78,-73.251154,-77.128658,410753.453953,-1364883.898859,-6195988.541538,0.007061,0.000000
79,-73.251154,-77.128658,410753.454620,-1364883.902522,-6195988.540692,0.007061,0.000000
80,-73.251154,-77.128658,410753.463466,-1364883.951396,-6195988.529416,0.007061,0.000000
81,-73.251154,-77.128658,410753.461143,-1364883.938567,-6195988.532376,0.007061,0.000000
82,-73.251154,-77.128658,410753.456720,-1364883.914130,-6195988.538014,0.007061,0.000000
83,-73.251154,-77.128658,410753.454397,-1364883.901301,-6195988.540974,0.007061,0.000000
84,-73.251154,-77.128658,410753.456609,-1364883.913519,-6195988.538155,0.007061,0.000000
