Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
51,124.451416,-82.463188,-474821.963624,692126.801366,-6301469.728429,38254.918222,0.000000
59,-164.782990,-57.081139,-3352590.737003,-911947.650143,-5330815.895753,38166.664634,0.000000
47,84.868695,20.926552,533051.188050,5936089.015067,2263801.377415,40503.135008,0.000000
41,117.166290,71.754272,-914521.761015,1782045.020504,6035157.293866,34979.950044,0.000000
38,-153.872543,-18.632446,-5428118.508399,-2662434.054895,-2024839.299842,42349.866686,0.000000
53,-154.011597,20.581230,-5369496.060621,-2617533.015815,2228050.334094,44393.031234,0.000000
72,-10.839967,-86.421577,392296.101926,-75118.124661,-6344275.296271,34696.172565,0.000000
61,-101.915756,52.595306,-801642.885065,-3798890.239019,5043313.794844,44270.590425,0.000000
93,39.432083,-55.352463,2807116.949417,2308425.478453,-5223790.818012,29104.078114,0.000000
93,-85.174690,-57.287033,290639.410703,-3442892.678644,-5343242.096690,42622.604389,0.000000
65,140.098083,-53.413498,-2922685.759879,2443910.709544,-5098105.129157,30870.342873,0.000000
42,102.712006,-60.396965,-695079.500145,3081300.356396,-5522458.336689,40185.314269,0.000000
28,142.909088,-23.073296,-4683305.602565,3540788.578956,-2484286.708713,31892.531785,0.000000
54,96.977718,-17.506024,-739174.970065,6039513.160001,-1906316.116538,40437.772747,0.000000
44,-148.188736,5.034325,-5399301.367577,-3349178.401179,555965.116066,42129.292074,0.000000
59,-21.531525,-61.978142,2794692.766728,-1102635.392556,-5607371.197098,42293.217631,0.000000
48,112.408691,53.690735,-1442885.331280,3499195.489451,5116436.107496,26657.431032,0.000000
38,95.376358,-84.961952,-52656.136666,559507.826748,-6332029.101169,34508.458560,0.000000
53,163.053314,-6.058838,-6067320.573819,1848794.404343,-668728.649184,32361.137219,0.000000
97,83.709604,43.840644,504861.449680,4580016.563463,4395337.812433,33284.879218,0.000000
48,-103.567242,43.111526,-1093992.246758,-4533361.110245,4336554.921497,43931.033702,0.000000
41,-161.653488,70.011261,-2075595.294140,-688307.241500,5971469.576810,41351.217392,0.000000
40,179.808182,18.332481,-6056401.358667,20276.046465,1993349.954791,37062.775978,0.000000
46,142.012909,-69.677223,-1751055.367286,1367439.161526,-5958628.974179,38475.668831,0.000000
47,-55.041046,-38.221909,2874818.220352,-4111932.377083,-3924824.460308,42366.475183,0.000000
53,69.104736,-22.600166,2101183.879518,5503821.770379,-2435901.114839,42027.405634,0.000000
57,91.307420,-23.427467,-133602.613853,5853924.340308,-2520227.277426,42499.485607,0.000000
35,-76.895027,53.406494,863966.527192,-3711215.812852,5097640.480988,45212.123068,0.000000
61,-26.132050,1.721016,5723606.697560,-2807937.057510,190272.043241,38746.564804,0.000000
50,-149.692810,27.296745,-4896719.224525,-2862236.040071,2907474.089050,46320.456414,0.000000
50,-149.246201,-41.727753,-4096782.665365,-2437697.409003,-4223084.131087,44249.998817,0.000000
50,90.799835,75.585281,-22234.017628,1592618.732167,6155351.685510,33423.721383,0.000000
98,-71.504257,60.443024,1000639.966270,-2991336.222323,5524991.595410,41240.843084,0.000000
42,125.461304,10.012650,-3644306.259122,5116434.680221,1101626.397750,39700.357157,0.000000
68,0.499847,32.059494,5410353.474314,47201.027286,3366024.306570,38047.336113,0.000000
42,116.845306,43.433502,-2094883.122872,4139027.894285,4362599.731546,30525.177722,0.000000
49,113.498108,62.833023,-1164222.732850,2677770.778236,5651504.621942,31585.106298,0.000000
44,157.195953,35.904579,-4767932.809255,2004650.655733,3719620.844193,16987.290285,0.000000
36,-99.298676,17.769409,-981725.205507,-5995907.646240,1934096.193228,37271.575306,0.000000
54,10.366486,16.145958,6028116.402610,1102721.932920,1762248.260400,36989.835114,0.000000
63,-84.582329,-29.977882,522068.049270,-5504781.325865,-3168250.197497,36735.421591,0.000000
37,160.592041,-66.001617,-2453517.667294,864403.067591,-5804020.921410,30876.954197,0.000000
39,-100.514389,79.186569,-219069.345938,-1180338.048769,6243136.917103,32685.721991,0.000000
53,-18.649582,-29.395767,5269419.156695,-1778433.396052,-3112193.906381,34021.459830,0.000000
67,-95.759216,24.889984,-580930.605542,-5759932.437964,2668024.624958,38100.108912,0.000000
45,-44.638588,-12.078899,4438554.954841,-4382909.931414,-1325938.625388,32676.437177,0.000000
31,-14.410446,-70.392235,2079214.607493,-534255.672492,-5985865.764089,37726.724064,0.000000
40,-127.088684,-33.268040,-3219219.487598,-4258318.979708,-3478852.221209,37791.378437,0.000000
84,-28.248062,-64.140598,2457277.432312,-1320235.689607,-5716568.539848,38309.897735,0.000000
87,-161.523560,55.506104,-3433685.766405,-1147325.418527,5233496.601330,37137.480900,0.000000
