Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,62.006821,-24.598827,2266641.369271,5341640.315451,-2638734.668960,947983.422492,3.333333
1,62.006821,-24.598827,2821305.155417,5307627.443586,-2125911.703600,947983.422492,3.333333
2,52.006821,-17.098827,3753720.490813,4805722.227666,-1863289.945305,935224.445374,5.651942
3,52.006821,-17.098827,3247110.434234,5001414.950480,-2255761.567740,935224.445374,2.825971
4,52.006821,-17.098827,3777866.983612,4836635.913820,-1730641.522683,935224.445374,1.412985
5,52.006821,-17.098827,3766016.776232,4821464.617729,-1797070.731795,935224.445374,0.706493
6,52.006821,-17.098827,3818385.694251,4780097.709129,-1797070.731795,935224.445374,0.416667
7,52.006821,-17.098827,3805918.420968,4764490.384665,-1863289.945305,935224.445374,0.416667
8,52.006821,-17.098827,3799179.740909,4782743.140010,-1830207.074345,935224.445374,0.303695
9,52.006821,-17.098827,3789539.874741,4783986.734030,-1846755.254495,935224.445374,0.268115
10,52.006821,-17.098827,3788814.853286,4779723.002311,-1859157.543865,935224.445374,0.200242
11,52.006821,-17.098827,3754420.523919,4809997.450062,-1850890.196564,935224.445374,0.200242
12,52.006821,-17.098827,3754072.771567,4807862.212370,-1857091.024737,935224.445374,0.100121
13,52.006821,-17.098827,3762777.995140,4800851.076048,-1857607.674400,935224.445374,0.054287
14,52.006821,-17.098827,3758338.842393,4803824.099183,-1858899.240574,935224.445374,0.034320
15,52.006821,-17.098827,3755852.470679,4803703.163283,-1864193.794791,935224.445374,0.017160
16,52.006821,-17.098827,3754786.625255,4804712.826263,-1863741.875138,935224.445374,0.008580
17,52.006821,-17.098827,3754231.400684,4805083.644803,-1863903.276183,935224.445374,0.006780
18,52.006821,-17.098827,3753975.963376,4805402.948798,-1863596.613087,935224.445374,0.003390
19,52.006821,-17.098827,3753837.144342,4805495.637049,-1863636.963762,935224.445374,0.003125
20,52.006821,-17.098827,3753778.820583,4805608.934560,-1863463.455284,935224.445374,0.001562
21,52.006821,-17.098827,3753800.980651,4805742.830592,-1863076.082105,935224.445374,0.001562
22,52.006821,-17.098827,3753749.656450,4805665.581664,-1863376.700482,935224.445374,0.000781
23,52.006821,-17.098827,3753747.905322,4805713.217765,-1863258.168606,935224.445374,0.000523
24,52.006821,-17.098827,3753722.241731,4805674.591112,-1863408.476994,935224.445374,0.000523
25,52.006821,-17.098827,3753735.073819,4805693.904802,-1863333.322941,935224.445374,0.000262
26,52.006821,-17.098827,3753713.637169,4805724.480097,-1863297.889472,935224.445374,0.000131
27,52.006821,-17.098827,3753715.131594,4805729.871450,-1863281.086925,935224.445374,0.000074
28,52.006821,-17.098827,3753718.030182,4805720.095093,-1863300.332618,935224.445374,0.000051
29,52.006821,-17.098827,3753716.448835,4805722.820740,-1863296.514217,935224.445374,0.000043
30,52.006821,-17.098827,3753718.469824,4805722.524204,-1863293.229762,935224.445374,0.000022
31,52.006821,-17.098827,3753720.886151,4805721.546255,-1863290.899906,935224.445374,0.000011
32,52.006821,-17.098827,3753719.480319,4805722.375935,-1863291.587534,935224.445374,0.000011
33,52.006821,-17.098827,3753719.985566,4805722.301801,-1863290.766420,935224.445374,0.000005
34,52.006821,-17.098827,3753720.589648,4805722.057313,-1863290.183956,935224.445374,0.000003
35,52.006821,-17.098827,3753720.540231,4805722.142490,-1863290.064630,935224.445374,0.000001
36,52.006821,-17.098827,3753720.515522,4805722.185078,-1863290.004968,935224.445374,0.000001
37,52.006821,-17.098827,3753720.449624,4805722.223969,-1863290.037200,935224.445374,0.000001
38,52.006821,-17.098827,3753720.470218,4805722.225818,-1863289.991253,935224.445374,0.000000
39,52.006821,-17.098827,3753720.480516,4805722.226742,-1863289.968279,935224.445374,0.000000
40,52.006821,-17.098827,3753720.490128,4805722.235072,-1863289.927704,935224.445374,0.000000
41,52.006821,-17.098827,3753720.485665,4805722.227204,-1863289.956792,935224.445374,0.000000
