Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
58,166.772562,-79.070848,-1180997.786226,277597.262615,-6240700.030368,618727.651351,0.000000
42,81.645508,65.275360,388685.093087,2646714.982528,5770617.804687,405846.633080,0.000000
40,-133.407684,-19.230816,-4139891.364660,-4376636.431723,-2087490.474712,730302.040598,0.000000
41,76.248688,-62.105316,711182.350562,2906074.057340,-5614015.936075,406751.351161,0.000000
50,172.273468,10.153503,-6221896.258772,844167.409729,1116965.373488,696537.760751,0.000000
66,-70.804290,26.018339,1885786.594434,-5416547.231078,2780887.951647,906383.297910,0.000000
66,-80.452598,50.192882,678614.977624,-4034734.634775,4876551.997005,608107.678188,0.000000
75,-138.398830,-38.131509,-3756442.677895,-3335263.007462,-3916936.389262,703997.166240,0.000000
40,-136.540405,-43.364319,-3371077.810302,-3194518.267611,-4357014.947761,754224.796242,0.000000
57,-131.017446,72.676807,-1250218.642024,-1437327.873202,6066599.998433,612089.393828,0.000000
49,142.779816,23.139374,-4672835.556939,3549470.508208,2490919.935479,103611.916526,0.000000
60,127.940186,71.436966,-1252180.651013,1606171.543399,6023979.012709,666479.700789,0.000000
54,-64.980713,82.764542,340862.573945,-730340.180498,6305796.101502,593352.084182,0.000000
49,-93.802780,-27.705650,-374784.709093,-5638517.538810,-2947665.229895,756538.032509,0.000000
56,73.985931,16.269470,1689540.113064,5886670.868367,1775373.012180,596133.396090,0.000000
54,93.403076,-4.030952,-377675.647729,6351244.833768,-445359.418742,921114.059760,0.000000
62,-154.147589,-61.973674,-2704070.044782,-1310251.480263,-5607137.250369,739988.372722,0.000000
54,-134.139401,22.199643,-4114486.625339,-4239982.600507,2394895.488338,831041.133371,0.000000
48,-148.666162,75.283105,-1388355.080103,-845256.576544,6146868.955088,646648.777257,0.000000
59,-14.697495,-24.765030,5605347.635930,-1470273.443170,-2655462.677813,695232.744103,0.000000
53,17.071060,-68.539223,2237215.377649,687020.559995,-5913360.810706,495160.487077,0.000000
50,148.280176,33.879370,-4508955.015916,2786942.991659,3535345.848555,192.563859,0.000000
43,-80.214146,28.492502,953491.558504,-5528264.460332,3024586.541180,637451.078885,0.000000
52,-98.612732,84.059479,-99184.033658,-654839.645842,6322387.528177,593214.750861,0.000000
55,-26.577469,-13.112503,5556390.593928,-2779700.730718,-1437529.787780,588390.222306,0.000000
51,14.751205,18.379471,5855234.793998,1541686.400988,1998286.348043,715351.552074,0.000000
48,76.011688,-52.944435,931027.924201,3737396.885704,-5066819.741217,492698.823144,0.000000
72,-59.883006,-8.180307,3167992.597422,-5461339.931568,-901522.692669,671838.044145,0.000000
57,89.275021,43.161381,58959.000039,4659334.644405,4340596.587066,698630.333135,0.000000
58,-118.120499,2.404160,-3003562.637285,-5620332.530880,265761.756071,693150.660643,0.000000
53,-160.762314,79.926468,-1056750.700592,-368779.071650,6258112.025347,547468.373603,0.000000
51,-103.833107,3.266991,-1522516.072928,-6183149.548671,361053.319881,790127.676459,0.000000
62,-2.960205,-1.522499,6367392.662321,-329266.429911,-168329.823734,727339.800265,0.000000
55,159.633026,-23.594650,-5482457.585601,2035311.238685,-2537205.873839,531068.450293,0.000000
54,87.976898,30.999069,193176.572121,5468633.443264,3265805.058510,699897.640618,0.000000
44,-143.175552,16.470543,-4897358.764912,-3666952.636619,1796722.172378,764947.284308,0.000000
56,148.541812,-34.463354,-4490933.395232,2747541.539665,-3589210.873517,598.876940,0.000000
60,-73.720398,-5.524433,1779701.780848,-6094158.484300,-609933.040613,714255.634374,0.000000
45,169.626678,34.963882,-5147197.374197,942210.314224,3634583.938090,593723.962931,0.000000
54,45.547882,77.310730,984309.942760,1003316.900314,6200484.976129,552702.058724,0.000000
58,75.873825,28.553558,1368350.015509,5437115.921318,3030531.951787,669468.271355,0.000000
61,-85.282654,-27.237175,466705.660231,-5655683.325447,-2901606.718627,698596.840189,0.000000
43,10.279297,-40.042133,4811217.426348,872550.620773,-4081568.235643,720714.685342,0.000000
52,98.121399,50.123283,-578836.644492,4056257.497629,4871592.177155,503723.947970,0.000000
42,39.173386,54.835983,2854065.898687,2325512.607432,5190889.381246,662712.061178,0.000000
52,-67.129448,54.009041,1459926.894485,-3461092.520955,5137335.241039,621883.580193,0.000000
50,41.031112,-0.398893,4811252.408773,4186946.777121,-44106.963387,496306.921735,0.000000
49,109.754974,9.721611,-2125045.482541,5917126.612706,1069911.753357,662173.178894,0.000000
52,-78.818475,-48.595191,819556.812382,-4146080.277717,-4760905.129567,701454.820610,0.000000
53,148.140907,32.452010,-4575721.422443,2843605.200750,3402833.528722,92.376846,0.000000
