Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,119.514526,-31.550018,-2847204.797728,4735824.387154,-3175365.641057,1743750.837211,2.000000
1,118.764526,-33.050018,-2575328.754682,4691383.501859,-3458814.172920,1718329.382220,1.457738
2,121.764526,-33.050018,-2996705.741879,4378295.031220,-3528035.171900,1627509.421652,1.457738
3,121.764526,-33.050018,-2709675.764280,4507069.029948,-3596863.336724,1627509.421652,1.457738
4,126.639526,-35.300018,-3109970.692189,4181549.368419,-3665082.299439,1589897.197865,2.663409
5,125.795776,-33.987518,-3096468.359202,4294026.417081,-3545298.679124,1523780.845609,2.318826
6,123.991089,-33.846893,-2964568.655232,4396628.629428,-3532354.556097,1482414.413504,1.283962
7,123.991089,-33.846893,-2988111.765251,4426659.676737,-3474936.968932,1482414.413504,0.906490
8,125.766479,-34.608612,-3109970.692189,4181549.368419,-3665082.299439,1478504.919139,0.906490
9,123.044800,-34.708221,-2862210.888490,4399882.713918,-3611304.369319,1440960.017937,1.191966
10,125.234741,-36.281464,-2969780.997248,4204518.199649,-3753413.425236,1425138.805787,1.405132
11,120.886353,-37.267303,-2608821.438243,4361380.181541,-3841043.253801,1383563.878486,2.064491
12,123.092041,-40.906708,-2635680.818736,4044354.139848,-4154598.589965,1307665.749252,2.666140
13,123.092041,-40.906708,-2286628.525321,4169068.656229,-4236726.935672,1307665.749252,2.666140
14,120.933594,-43.465790,-2383370.260693,3977027.912717,-4365203.961369,1227447.117749,2.064491
15,120.933594,-43.465790,-2399104.882523,4092736.586423,-4248854.906483,1227447.117749,1.570511
16,115.783661,-46.444366,-1915042.566994,3964340.518834,-4599421.261260,1196751.770336,2.948646
17,114.319412,-50.786438,-1663957.402808,3681930.551860,-4918558.870909,1157094.814060,4.132938
18,109.169479,-53.765015,-758744.145660,3212863.809748,-5439032.087421,1145506.382203,4.132938
19,111.744446,-52.275726,-1448801.261725,3632472.106118,-5021633.630850,1133808.150941,2.066469
20,108.437355,-55.936050,-934753.185320,3172390.547567,-5435411.358835,1115224.511868,2.066469
21,108.437355,-55.936050,-1287365.401640,3519623.233826,-5143662.659075,1115224.511868,1.033235
22,108.437355,-55.936050,-1035519.125202,3355611.910722,-5306451.433017,1115224.511868,1.033235
23,108.437355,-55.936050,-1134542.932767,3430839.123867,-5238116.970744,1115224.511868,0.737161
24,108.437355,-55.936050,-1234165.014414,3468620.044451,-5190814.057960,1115224.511868,0.737161
25,108.437355,-55.936050,-1231589.717298,3435003.863966,-5213576.316219,1115224.511868,0.737161
26,108.437355,-55.936050,-1130200.976658,3362945.626516,-5282594.342546,1115224.511868,0.737161
27,108.437355,-55.936050,-1033765.953500,3321344.982072,-5328160.796782,1115224.511868,0.737161
28,108.437355,-55.936050,-1035519.125202,3355611.910722,-5306451.433017,1115224.511868,0.737161
29,108.437355,-55.936050,-1134542.932767,3430839.123867,-5238116.970744,1115224.511868,0.737161
30,108.437355,-55.936050,-1234165.014414,3468620.044451,-5190814.057960,1115224.511868,0.737161
31,108.437355,-55.936050,-1182955.622842,3433279.435924,-5225876.547368,1115224.511868,0.368581
32,108.437355,-55.936050,-1157622.274892,3415235.066844,-5243227.371826,1115224.511868,0.184290
33,108.437355,-55.936050,-1108027.385811,3386914.188977,-5272039.351010,1115224.511868,0.184290
34,108.437355,-55.936050,-1107510.458731,3378407.160391,-5277566.108079,1115224.511868,0.184290
35,108.437355,-55.936050,-1131924.032402,3388453.726054,-5266010.712289,1115224.511868,0.184290
36,108.437355,-55.936050,-1157053.957461,3406768.720091,-5248819.937523,1115224.511868,0.184290
37,108.437355,-55.936050,-1157622.274892,3415235.066844,-5243227.371826,1115224.511868,0.184290
38,108.437355,-55.936050,-1133009.487676,3405427.263726,-5254891.299679,1115224.511868,0.184290
39,108.437355,-55.936050,-1108027.385811,3386914.188977,-5272039.351010,1115224.511868,0.184290
40,108.437355,-55.936050,-1107510.458731,3378407.160391,-5277566.108079,1115224.511868,0.184290
41,108.437355,-55.936050,-1131924.032402,3388453.726054,-5266010.712289,1115224.511868,0.184290
42,108.437355,-55.936050,-1157053.957461,3406768.720091,-5248819.937523,1115224.511868,0.184290
43,108.437355,-55.936050,-1157622.274892,3415235.066844,-5243227.371826,1115224.511868,0.184290
44,108.437355,-55.936050,-1133009.487676,3405427.263726,-5254891.299679,1115224.511868,0.184290
45,108.437355,-55.936050,-1120233.223865,3391954.426106,-5266255.294333,1115224.511868,0.092145
46,108.437355,-55.936050,-1126348.913740,3394455.444817,-5263358.061869,1115224.511868,0.046073
47,108.437355,-55.936050,-1129409.939227,3395701.170213,-5261908.145472,1115224.511868,0.023036
48,108.437355,-55.936050,-1130941.245585,3396322.835800,-5261182.862340,1115224.511868,0.011518
49,108.437355,-55.936050,-1131707.096977,3396633.369175,-5260820.139554,1115224.511868,0.005759
50,108.437355,-55.936050,-1132090.072202,3396788.560991,-5260638.757858,1115224.511868,0.002880
51,108.437355,-55.936050,-1132281.572194,3396866.138179,-5260548.061934,1115224.511868,0.001440
52,108.437355,-55.936050,-1132377.325285,3396904.922092,-5260502.712704,1115224.511868,0.000720
53,108.437355,-55.936050,-1132425.202604,3396924.312879,-5260480.037771,1115224.511868,0.000360
54,108.437355,-55.936050,-1132449.141456,3396934.007980,-5260468.700226,1115224.511868,0.000180
55,108.437355,-55.936050,-1132461.110931,3396938.855457,-5260463.031433,1115224.511868,0.000090
