Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-37.564957,55.864182,3578062.362052,-2285184.078891,4743876.784016,1641696.129937,4.859127
1,-37.564957,55.864182,3212569.246462,-2254897.326770,5010615.219990,1641696.129937,2.429563
2,-37.564957,55.864182,2936956.514930,-2109636.804248,5236368.642696,1641696.129937,2.003686
3,-37.564957,55.864182,2565579.421272,-2018183.820234,5461168.983803,1641696.129937,2.003686
4,-40.064957,59.614182,2247976.752432,-2042094.234768,5589856.668912,1455551.208271,2.003686
5,-40.064957,59.614182,2659059.566286,-2139081.869295,5370288.215203,1455551.208271,1.001843
6,-40.064957,59.614182,2336900.139476,-1987272.992630,5573234.274265,1455551.208271,1.001843
7,-40.064957,59.614182,2463309.035635,-2043215.066471,5498567.882355,1455551.208271,0.795231
8,-40.064957,59.614182,2601440.445425,-2133946.608830,5400265.550539,1455551.208271,0.795231
9,-40.064957,59.614182,2612381.080205,-2172883.906555,5379557.011922,1455551.208271,0.795231
10,-40.064957,59.614182,2538308.305868,-2108346.734201,5439949.842648,1455551.208271,0.397615
11,-40.064957,59.614182,2480994.888751,-2101080.676897,5468928.880490,1455551.208271,0.397615
12,-40.064957,59.614182,2412212.413176,-2054153.190139,5516990.685017,1455551.208271,0.397615
13,-40.064957,59.614182,2406199.647319,-2034923.437431,5526668.959956,1455551.208271,0.397615
14,-40.064957,59.614182,2440748.194333,-2058439.413180,5502919.295302,1455551.208271,0.198808
15,-40.064957,59.614182,2478126.278883,-2091408.761937,5473900.948976,1455551.208271,0.198808
16,-40.064957,59.614182,2476680.098911,-2086576.893736,5476382.154807,1455551.208271,0.099404
17,-40.064957,59.614182,2457996.095706,-2070119.610730,5490928.316310,1455551.208271,0.099404
18,-40.064957,59.614182,2473764.011143,-2076921.400071,5481334.902057,1455551.208271,0.099404
19,-40.064957,59.614182,2490990.877737,-2088490.990591,5469205.444154,1455551.208271,0.099404
20,-40.064957,59.614182,2492437.626276,-2093323.754551,5466714.941843,1455551.208271,0.099404
21,-40.064957,59.614182,2475954.042109,-2084161.987572,5477621.549955,1455551.208271,0.049702
22,-40.064957,59.614182,2475590.272248,-2082954.792176,5478240.945505,1455551.208271,0.024851
23,-40.064957,59.614182,2475408.201983,-2082351.258987,5478550.567763,1455551.208271,0.012425
24,-40.064957,59.614182,2477378.467173,-2083197.622944,5477346.198410,1455551.208271,0.012425
25,-40.064957,59.614182,2477196.388070,-2082594.075791,5477655.966102,1455551.208271,0.012425
26,-40.064957,59.614182,2475043.690829,-2081144.321753,5479169.661231,1455551.208271,0.012425
27,-40.064957,59.614182,2476211.189771,-2082171.043860,5478258.148062,1455551.208271,0.006213
28,-40.064957,59.614182,2476302.273442,-2082472.797806,5478103.319452,1455551.208271,0.006213
29,-40.064957,59.614182,2475317.120521,-2082049.508531,5478705.360011,1455551.208271,0.006213
30,-40.064957,59.614182,2474240.843351,-2081324.250739,5479461.940912,1455551.208271,0.006213
31,-40.064957,59.614182,2475025.279012,-2081792.778820,5478933.225693,1455551.208271,0.005261
32,-40.064957,59.614182,2475125.643531,-2081770.275837,5478896.683033,1455551.208271,0.002631
33,-40.064957,59.614182,2474954.624799,-2081647.537106,5479019.743014,1455551.208271,0.001430
34,-40.064957,59.614182,2475175.825837,-2081759.022839,5478878.411441,1455551.208271,0.000715
35,-40.064957,59.614182,2475145.616609,-2081725.526048,5478904.609626,1455551.208271,0.000455
36,-40.064957,59.614182,2475200.917001,-2081753.395964,5478869.275579,1455551.208271,0.000227
37,-40.064957,59.614182,2475199.637471,-2081743.615077,5478873.541226,1455551.208271,0.000181
38,-40.064957,59.614182,2475213.462587,-2081750.582432,5478864.707631,1455551.208271,0.000090
39,-40.064957,59.614182,2475216.279099,-2081747.433816,5478864.632058,1455551.208271,0.000083
40,-40.064957,59.614182,2475219.735380,-2081749.175643,5478862.423653,1455551.208271,0.000042
41,-40.064957,59.614182,2475222.007706,-2081748.036787,5478861.833765,1455551.208271,0.000041
42,-40.064957,59.614182,2475222.871777,-2081748.472242,5478861.281663,1455551.208271,0.000020
43,-40.064957,59.614182,2475224.223958,-2081748.011677,5478860.848693,1455551.208271,0.000020
44,-40.064957,59.614182,2475224.439975,-2081748.120541,5478860.710668,1455551.208271,0.000010
45,-40.064957,59.614182,2475225.170070,-2081747.917473,5478860.459677,1455551.208271,0.000010
46,-40.064957,59.614182,2475225.224075,-2081747.944689,5478860.425170,1455551.208271,0.000005
47,-40.064957,59.614182,2475225.602623,-2081747.849960,5478860.291048,1455551.208271,0.000005
48,-40.064957,59.614182,2475225.616124,-2081747.856764,5478860.282421,1455551.208271,0.000003
49,-40.064957,59.614182,2475225.808774,-2081747.811100,5478860.213204,1455551.208271,0.000003
50,-40.064957,59.614182,2475225.812149,-2081747.812801,5478860.211047,1455551.208271,0.000001
51,-40.064957,59.614182,2475225.909318,-2081747.790394,5478860.175899,1455551.208271,0.000001
52,-40.064957,59.614182,2475225.909740,-2081747.790607,5478860.175629,1455551.208271,0.000001
53,-40.064957,59.614182,2475225.909951,-2081747.790713,5478860.175495,1455551.208271,0.000001
54,-40.064957,59.614182,2475225.910161,-2081747.790819,5478860.175360,1455551.208271,0.000001
55,-40.064957,59.614182,2475225.959115,-2081747.779802,5478860.157550,1455551.208271,0.000001
56,-40.064957,59.614182,2475225.959168,-2081747.779829,5478860.157516,1455551.208271,0.000000
57,-40.064957,59.614182,2475225.983658,-2081747.774327,5478860.148603,1455551.208271,0.000000
58,-40.064957,59.614182,2475225.983664,-2081747.774330,5478860.148599,1455551.208271,0.000000
59,-40.064957,59.614182,2475225.983667,-2081747.774332,5478860.148596,1455551.208271,0.000000
60,-40.064957,59.614182,2475225.983671,-2081747.774333,5478860.148594,1455551.208271,0.000000
61,-40.064957,59.614182,2475225.995922,-2081747.771585,5478860.144134,1455551.208271,0.000000
62,-40.064957,59.614182,2475225.995922,-2081747.771585,5478860.144134,1455551.208271,0.000000
63,-40.064957,59.614182,2475225.995922,-2081747.771585,5478860.144134,1455551.208271,0.000000
64,-40.064957,59.614182,2475225.995922,-2081747.771585,5478860.144133,1455551.208271,0.000000
65,-40.064957,59.614182,2475226.002048,-2081747.770212,5478860.141903,1455551.208271,0.000000
66,-40.064957,59.614182,2475226.002048,-2081747.770212,5478860.141903,1455551.208271,0.000000
67,-40.064957,59.614182,2475226.002048,-2081747.770212,5478860.141903,1455551.208271,0.000000
68,-40.064957,59.614182,2475226.005111,-2081747.769525,5478860.140788,1455551.208271,0.000000
69,-40.064957,59.614182,2475226.005111,-2081747.769525,5478860.140788,1455551.208271,0.000000
70,-40.064957,59.614182,2475226.006642,-2081747.769181,5478860.140230,1455551.208271,0.000000
71,-40.064957,59.614182,2475226.006642,-2081747.769181,5478860.140230,1455551.208271,0.000000
72,-40.064957,59.614182,2475226.007408,-2081747.769010,5478860.139951,1455551.208271,0.000000
73,-40.064957,59.614182,2475226.007408,-2081747.769010,5478860.139951,1455551.208271,0.000000
74,-40.064957,59.614182,2475226.007791,-2081747.768924,5478860.139812,1455551.208271,0.000000
75,-40.064957,59.614182,2475226.007791,-2081747.768924,5478860.139812,1455551.208271,0.000000
76,-40.064957,59.614182,2475226.007982,-2081747.768881,5478860.139742,1455551.208271,0.000000
77,-40.064957,59.614182,2475226.007982,-2081747.768881,5478860.139742,1455551.208271,0.000000
78,-40.064957,59.614182,2475226.007982,-2081747.768881,5478860.139742,1455551.208271,0.000000
79,-40.064957,59.614182,2475226.008078,-2081747.768859,5478860.139707,1455551.208271,0.000000
80,-40.064957,59.614182,2475226.008054,-2081747.768865,5478860.139716,1455551.208271,0.000000
81,-40.064957,59.614182,2475226.008096,-2081747.768855,5478860.139701,1455551.208271,0.000000
82,-40.064957,59.614182,2475226.008114,-2081747.768851,5478860.139694,1455551.208271,0.000000
83,-40.064957,59.614182,2475226.008139,-2081747.768846,5478860.139685,1455551.208271,0.000000
84,-40.064957,59.614182,2475226.008142,-2081747.768845,5478860.139684,1455551.208271,0.000000
85,-40.064957,59.614182,2475226.008143,-2081747.768845,5478860.139684,1455551.208271,0.000000
86,-40.064957,59.614182,2475226.008143,-2081747.768845,5478860.139684,1455551.208271,0.000000
87,-40.064957,59.614182,2475226.008144,-2081747.768845,5478860.139683,1455551.208271,0.000000
88,-40.064957,59.614182,2475226.008159,-2081747.768841,5478860.139678,1455551.208271,0.000000
89,-40.064957,59.614182,2475226.008155,-2081747.768842,5478860.139679,1455551.208271,0.000000
90,-40.064957,59.614182,2475226.008161,-2081747.768841,5478860.139677,1455551.208271,0.000000
91,-40.064957,59.614182,2475226.008167,-2081747.768839,5478860.139675,1455551.208271,0.000000
92,-40.064957,59.614182,2475226.008173,-2081747.768838,5478860.139673,1455551.208271,0.000000
93,-40.064957,59.614182,2475226.008171,-2081747.768839,5478860.139674,1455551.208271,0.000000
94,-40.064957,59.614182,2475226.008172,-2081747.768838,5478860.139673,1455551.208271,0.000000
95,-40.064957,59.614182,2475226.008172,-2081747.768838,5478860.139673,1455551.208271,0.000000
96,-40.064957,59.614182,2475226.008173,-2081747.768838,5478860.139673,1455551.208271,0.000000
97,-40.064957,59.614182,2475226.008173,-2081747.768838,5478860.139673,1455551.208271,0.000000
98,-40.064957,59.614182,2475226.008173,-2081747.768838,5478860.139673,1455551.208271,0.000000
99,-40.064957,59.614182,2475226.008173,-2081747.768838,5478860.139673,1455551.208271,0.000000
100,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
101,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
102,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
103,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
104,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
105,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
106,-40.064957,59.614182,2475226.008174,-2081747.768838,5478860.139673,1455551.208271,0.000000
