Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,110.044434,-66.175552,-885527.121066,2427107.585235,-5811882.270171,1117441.502196,8.819171
1,110.044434,-66.175552,-505235.925165,2270637.224784,-5918907.577249,1117441.502196,4.409586
2,110.044434,-66.175552,-542087.605599,1714644.476516,-6098859.241735,1117441.502196,4.409586
3,110.044434,-66.175552,-873831.957248,1870150.778615,-6014630.397870,1117441.502196,4.409586
4,110.044434,-66.175552,-1311490.138454,2514585.944185,-5693768.086729,1117441.502196,4.409586
5,110.044434,-66.175552,-1274427.857817,3070004.857265,-5425234.616557,1117441.502196,4.409586
6,105.044434,-61.175552,-489902.578719,3166612.983721,-5496325.301491,1100322.000707,4.409586
7,110.044434,-61.175552,-1056696.699046,2896259.767243,-5564800.179256,1096226.080175,3.333333
8,110.044434,-61.175552,-929357.881235,2939595.632346,-5564800.179256,1096226.080175,1.666667
9,108.794434,-61.175552,-993263.659994,2918622.252854,-5564800.179256,1082558.399047,0.833333
10,108.794434,-61.175552,-1032336.431743,3033434.327129,-5496325.301491,1082558.399047,0.833333
11,108.794434,-61.175552,-1025041.164344,2907613.998543,-5564800.179256,1082558.399047,0.416667
12,108.794434,-61.175552,-991803.854094,2967298.342029,-5539430.820711,1082558.399047,0.303695
13,108.794434,-61.175552,-992604.857362,2942976.307291,-5552161.968933,1082558.399047,0.151848
14,108.794434,-61.175552,-992952.045152,2930803.219847,-5558492.705135,1082558.399047,0.075924
15,108.794434,-61.175552,-988059.163914,2916361.362200,-5566897.496526,1082558.399047,0.075924
16,108.794434,-61.175552,-993112.300592,2924713.713454,-5561649.351676,1082558.399047,0.037962
17,108.794434,-61.175552,-990805.502674,2911399.163008,-5568992.225050,1082558.399047,0.037962
18,108.794434,-61.175552,-992034.815097,2915011.394825,-5566897.496526,1082558.399047,0.018981
19,108.794434,-61.175552,-992649.296022,2916816.995668,-5565849.161421,1082558.399047,0.009490
20,108.794434,-61.175552,-992956.492632,2917719.667232,-5565324.751213,1082558.399047,0.004745
21,108.794434,-61.175552,-993110.079969,2918170.970787,-5565062.485453,1082558.399047,0.002373
22,108.794434,-61.175552,-993186.870896,2918396.614507,-5564931.337409,1082558.399047,0.001186
23,108.794434,-61.175552,-993225.265674,2918509.434352,-5564865.759596,1082558.399047,0.000593
24,108.794434,-61.175552,-993244.462891,2918565.843771,-5564832.969742,1082558.399047,0.000297
25,108.794434,-61.175552,-993254.061457,2918594.048355,-5564816.574578,1082558.399047,0.000148
26,108.794434,-61.175552,-993258.860729,2918608.150615,-5564808.376937,1082558.399047,0.000074
27,108.794434,-61.175552,-993261.260363,2918615.201737,-5564804.278102,1082558.399047,0.000037
28,108.794434,-61.175552,-993262.460179,2918618.727297,-5564802.228680,1082558.399047,0.000019
29,108.794434,-61.175552,-993263.060086,2918620.490076,-5564801.203969,1082558.399047,0.000009
30,108.794434,-61.175552,-993263.360040,2918621.371465,-5564800.691613,1082558.399047,0.000005
31,108.794434,-61.175552,-993263.510017,2918621.812160,-5564800.435435,1082558.399047,0.000002
32,108.794434,-61.175552,-993263.585006,2918622.032507,-5564800.307346,1082558.399047,0.000001
33,108.794434,-61.175552,-993263.622500,2918622.142681,-5564800.243301,1082558.399047,0.000001
34,108.794434,-61.175552,-993263.641247,2918622.197768,-5564800.211279,1082558.399047,0.000000
35,108.794434,-61.175552,-993263.650621,2918622.225311,-5564800.195268,1082558.399047,0.000000
36,108.794434,-61.175552,-993263.655307,2918622.239083,-5564800.187262,1082558.399047,0.000000
37,108.794434,-61.175552,-993263.657721,2918622.243064,-5564800.184760,1082558.399047,0.000000
38,108.794434,-61.175552,-993263.658857,2918622.247959,-5564800.182008,1082558.399047,0.000000
39,108.794434,-61.175552,-993263.660633,2918622.252397,-5564800.179382,1082558.399047,0.000000
40,108.794434,-61.175552,-993263.660438,2918622.253964,-5564800.178600,1082558.399047,0.000000
41,108.794434,-61.175552,-993263.659897,2918622.253638,-5564800.178866,1082558.399047,0.000000
42,108.794434,-61.175552,-993263.660313,2918622.252626,-5564800.179319,1082558.399047,0.000000
43,108.794434,-61.175552,-993263.660185,2918622.253075,-5564800.179108,1082558.399047,0.000000
44,108.794434,-61.175552,-993263.660201,2918622.252795,-5564800.179251,1082558.399047,0.000000
45,108.794434,-61.175552,-993263.660098,2918622.252825,-5564800.179254,1082558.399047,0.000000
46,108.794434,-61.175552,-993263.660014,2918622.252952,-5564800.179202,1082558.399047,0.000000
47,108.794434,-61.175552,-993263.660004,2918622.252903,-5564800.179229,1082558.399047,0.000000
48,108.794434,-61.175552,-993263.660032,2918622.252861,-5564800.179246,1082558.399047,0.000000
49,108.794434,-61.175552,-993263.660013,2918622.252858,-5564800.179251,1082558.399047,0.000000
50,108.794434,-61.175552,-993263.660011,2918622.252869,-5564800.179246,1082558.399047,0.000000
51,108.794434,-61.175552,-993263.660004,2918622.252856,-5564800.179254,1082558.399047,0.000000
52,108.794434,-61.175552,-993263.659994,2918622.252857,-5564800.179255,1082558.399047,0.000000
53,108.794434,-61.175552,-993263.659989,2918622.252854,-5564800.179258,1082558.399047,0.000000
54,108.794434,-61.175552,-993263.659990,2918622.252851,-5564800.179259,1082558.399047,0.000000
55,108.794434,-61.175552,-993263.659993,2918622.252852,-5564800.179258,1082558.399047,0.000000
56,108.794434,-61.175552,-993263.659992,2918622.252853,-5564800.179258,1082558.399047,0.000000
57,108.794434,-61.175552,-993263.659993,2918622.252854,-5564800.179257,1082558.399047,0.000000
58,108.794434,-61.175552,-993263.659994,2918622.252854,-5564800.179257,1082558.399047,0.000000
59,108.794434,-61.175552,-993263.659995,2918622.252855,-5564800.179256,1082558.399047,0.000000
60,108.794434,-61.175552,-993263.659995,2918622.252855,-5564800.179256,1082558.399047,0.000000
61,108.794434,-61.175552,-993263.659994,2918622.252855,-5564800.179256,1082558.399047,0.000000
62,108.794434,-61.175552,-993263.659994,2918622.252855,-5564800.179256,1082558.399047,0.000000
63,108.794434,-61.175552,-993263.659994,2918622.252855,-5564800.179256,1082558.399047,0.000000
64,108.794434,-61.175552,-993263.659994,2918622.252855,-5564800.179256,1082558.399047,0.000000
