Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
77,-29.165871,19.307644,5258149.063712,-2934571.121977,2095518.523134,1723349.677359,0.000000
52,97.387817,-70.779099,-270805.688163,2088565.145155,-6000212.697874,1528391.578879,0.000000
85,121.133728,9.612305,-3251738.649906,5383301.327788,1057993.525506,1516274.311583,0.000000
89,1.084274,41.414047,4789440.441110,90646.941126,4197017.872839,1708322.758947,0.000000
55,-177.006454,83.049698,-773309.512697,-40440.080865,6309728.300031,1658767.315089,0.000000
88,18.062668,67.799622,2297794.173843,749378.139220,5882684.680215,1790089.443722,0.000000
46,4.873505,-51.936878,3926246.459124,334769.167166,-4998476.287237,2113162.914097,0.000000
71,-94.365879,34.532294,-400419.848528,-5244750.181785,3595243.778769,2120472.880325,0.000000
63,109.837128,-46.714661,-1486624.814123,4120878.808812,-4620073.699853,1441427.566129,0.000000
57,48.872162,-3.667313,4186630.897872,4794520.600562,-405239.157339,1519495.097984,0.000000
136,167.573090,-89.520905,-52257.739472,11515.342477,-6356528.587161,1748732.081265,0.000000
72,0.882202,2.581268,6370953.380902,98103.438211,285327.269981,1865689.647423,0.000000
84,119.067841,-68.619438,-1132988.967186,2038270.810911,-5916628.562213,1250295.487479,0.000000
61,-129.527328,54.416748,-2367317.462192,-2868996.536315,5163873.146146,2304520.112067,0.000000
65,-73.058304,-37.690739,1472578.851804,-4834176.958859,-3878337.798424,1832480.252815,0.000000
63,153.841217,-29.749016,-4974467.697090,2443298.194999,-3146249.062118,446812.176921,0.000000
58,102.219330,-59.579445,-685251.571216,3164245.387607,-5476901.679902,1224556.062385,0.000000
88,-107.527779,-4.617218,-1914699.464561,-6062400.539377,-510004.195466,2101408.139245,0.000000
86,-35.391945,88.409218,144828.035285,-102893.286115,6354285.883230,1753334.324153,0.000000
53,144.912018,-41.695908,-3902766.882447,2741687.731448,-4220443.784379,588903.904874,0.000000
72,-41.050987,-19.284630,4541687.523566,-3955129.946038,-2093114.079761,2071655.521350,0.000000
67,-11.926971,72.364716,1896359.012531,-400557.951829,6056139.370688,1767704.865382,0.000000
64,-155.077179,19.891167,-5441208.820659,-2528359.746811,2156371.238158,2146966.126787,0.000000
102,-37.601902,27.435703,4488051.409278,-3456502.222709,2921148.688122,1811514.351226,0.000000
100,172.009300,4.380257,-6297883.547374,884067.372404,483881.494784,1736064.396715,0.000000
72,-114.978073,-40.011337,-2065708.714100,-4434356.425391,-4078949.813385,2347507.444274,0.000000
131,109.197632,-8.770462,-2072945.320897,5953480.408705,-966079.846074,1995560.589527,0.000000
117,-44.610337,-36.040384,3675795.284981,-3626134.778243,-3731815.901117,1886899.634575,0.000000
83,18.419836,-30.582930,5214100.471700,1736505.464801,-3226172.758148,1610851.986652,0.000000
77,-103.702415,-44.038200,-1087873.641818,-4461819.541826,-4411143.898689,2130620.645250,0.000000
63,-3.753765,47.606668,4298874.637788,-282046.838869,4687501.814419,1624573.272018,0.000000
116,54.183160,78.377030,754407.694632,1045364.315833,6225552.824411,1517536.459494,0.000000
60,70.816544,64.750977,896435.785949,2576608.154875,5745921.705915,1660631.554880,0.000000
76,-37.957314,-0.638435,5028654.560684,-3922785.735839,-70593.096494,1972748.727944,0.000000
59,120.301270,62.987747,-1465484.175863,2507748.038973,5659357.971584,1007329.930068,0.000000
82,17.250390,-45.629872,4266848.595447,1324923.513453,-4536574.705360,1674751.741717,0.000000
85,-154.692032,6.550453,-5728591.207252,-2708867.410965,722766.260886,1677842.381566,0.000000
61,4.030914,-25.421848,5749850.275248,405186.355393,-2721353.759191,1669575.409211,0.000000
66,159.342613,-72.412354,-1808846.819720,681969.283849,-6057747.768031,1252751.618005,0.000000
70,-52.194931,37.908943,3088573.536737,-3981037.706412,3897474.674979,1926986.733805,0.000000
81,55.079041,81.609375,534532.258268,765637.000818,6288259.872821,1637838.127921,0.000000
107,-164.941910,-39.955772,-4727753.114561,-1271936.476139,-4074222.481189,1794722.921970,0.000000
87,-42.931069,85.000845,408298.856940,-379827.509553,6332409.090430,1886010.742072,0.000000
96,-27.504726,-12.803285,5517482.917580,-2872798.228619,-1404192.131645,1746040.727691,0.000000
55,65.353088,46.286392,1841318.328640,4013103.677550,4587303.745095,1249661.362974,0.000000
90,-126.777750,2.363471,-3815444.262897,-5104340.942463,261266.475824,1925047.363664,0.000000
