Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
79,36.585449,8.747437,5062266.303076,3757576.433196,963562.923122,0.314989,0.000000
86,49.829163,7.745064,4077052.324796,4829523.885949,853850.958518,0.312296,0.000000
67,35.662201,-10.102661,5102212.517576,3661209.981662,-1111429.418464,0.303157,0.000000
72,22.028198,-72.476677,1785670.426057,722480.164160,-6059912.843370,0.345006,0.000000
83,126.130035,83.339706,-437619.855103,599466.263458,6313566.091002,0.367181,0.000000
103,27.897385,-0.582996,5636624.639242,2984109.706841,-64463.311203,0.312704,0.000000
66,-23.700073,-37.601673,4632817.238668,-2033671.649320,-3870510.591865,0.344329,0.000000
70,-46.978142,80.311935,734708.095633,-787275.603754,6265497.898653,0.361442,0.000000
80,47.836960,1.654480,4279504.258610,4725758.182019,182918.013245,0.302835,0.000000
70,-16.537094,13.469177,5947217.779532,-1765835.118476,1475932.735690,0.334526,0.000000
80,25.631714,-1.860458,5747474.062646,2757640.785927,-205683.414189,0.313574,0.000000
62,54.737808,52.953369,2223152.999864,3144268.983111,5067418.786066,0.326251,0.000000
74,41.296127,1.621231,4790044.701579,4207583.482637,179243.011985,0.313129,0.000000
74,44.620453,6.567673,4510205.574374,4450843.607735,724658.084660,0.312183,0.000000
62,9.506821,-1.703796,6287776.836027,1052982.475256,-188368.844387,0.309628,0.000000
84,29.936920,-1.503456,5525246.312197,3181896.895486,-166224.877027,0.312938,0.000000
65,-39.048203,-77.341839,1088924.941149,-883311.905285,-6201246.944702,0.364385,0.000000
66,16.206848,-40.829922,4640900.937899,1348907.894978,-4148150.194320,0.319450,0.000000
76,120.515656,60.582397,-1594787.970661,2705721.857234,5532635.518402,0.357531,0.000000
77,44.396011,7.439377,4519207.278803,4424918.474701,820340.328324,0.313187,0.000000
59,100.129547,68.771271,-407363.573014,2280114.824332,5922781.927568,0.351052,0.000000
60,25.593597,-9.377609,5675949.257088,2718679.403132,-1032390.798956,0.304493,0.000000
76,-40.208832,-87.886215,180264.760756,-152383.170056,-6352397.732695,0.360936,0.000000
66,-34.931030,73.249481,1511688.808210,-1055786.309197,6085324.341549,0.358100,0.000000
74,24.758629,11.074554,5684705.866975,2621723.449017,1217100.452406,0.317714,0.000000
69,94.364288,70.605537,-161655.855386,2118163.916730,5993810.062130,0.352422,0.000000
70,-80.362221,-71.442162,340873.373223,-2007314.238828,-6024163.548672,0.372163,0.000000
60,65.147705,-44.345417,1920148.525165,4145640.691511,-4435620.219569,0.322555,0.000000
59,-179.582153,-32.299419,-5396246.606722,-39354.446720,-3388542.605133,0.398432,0.000000
62,-75.439217,68.803970,581458.560138,-2238533.925902,5924101.694505,0.372092,0.000000
78,21.910736,-25.967941,5323410.652917,2141156.147530,-2775869.252536,0.323181,0.000000
72,5.204437,-72.338509,1932986.114792,176066.457714,-6055252.753332,0.347508,0.000000
76,26.830872,-0.118938,5691472.137458,2878819.614192,-13151.523283,0.309741,0.000000
76,25.133606,41.204819,4350638.889345,2041100.775459,4179563.360778,0.317505,0.000000
86,21.369972,-0.959656,5938792.859974,2323797.772838,-106108.379189,0.319100,0.000000
83,-30.265259,47.307999,3742057.179975,-2183638.960220,4665049.941764,0.359199,0.000000
74,-109.937027,46.170609,-1508751.859408,-4159480.367545,4578400.467196,0.400014,0.000000
79,-5.396286,-32.525620,5359087.805828,-506232.462227,-3409718.983764,0.330491,0.000000
85,151.582153,85.290497,-462106.292850,250045.991217,6335146.631812,0.362531,0.000000
100,51.791565,4.864319,3930917.110770,4993791.649969,537235.561338,0.314184,0.000000
71,-49.717964,-87.012703,215630.383855,-254424.290952,-6348056.112395,0.361371,0.000000
75,-124.695938,14.681168,-3512792.230549,-5073884.760701,1605999.077904,0.421435,0.000000
83,-20.473663,-63.855808,2640014.863913,-985678.198584,-5702650.407479,0.350360,0.000000
73,25.642914,-9.100502,5678043.234609,2725693.404373,-1002139.568725,0.316773,0.000000
71,9.864670,49.855743,4059226.858937,705869.497757,4852459.839126,0.331066,0.000000
96,45.347504,1.515354,4481030.283641,4535718.283261,167540.046929,0.311805,0.000000
72,-10.565552,-32.139023,5314220.729502,-991222.749495,-3373494.991796,0.333689,0.000000
89,44.627716,-0.314362,4539164.892683,4480557.694963,-34760.132302,0.311743,0.000000
58,-159.882126,-8.439606,-5924560.838834,-2170177.380894,-929899.383615,0.417783,0.000000
67,-54.014244,3.811272,3739458.885862,-5149615.334683,421124.111134,0.370336,0.000000
68,38.353165,14.105591,4851894.409127,3839110.721506,1544314.741763,0.303869,0.000000
77,13.732864,41.165558,4671048.311379,1141517.726267,4176281.929224,0.320438,0.000000
65,1.289871,-20.568115,5972518.634337,134479.042949,-2226690.972361,0.323028,0.000000
60,105.873749,80.925476,-276049.403203,970766.836947,6276665.300831,0.356621,0.000000
97,39.354347,-13.471794,4796995.759943,3933899.830233,-1476214.288681,0.313453,0.000000
98,43.492645,0.225220,4627065.141713,4389792.182304,24903.445321,0.311846,0.000000
87,40.455566,-4.583626,4837766.098478,4125358.403880,-506301.487322,0.310429,0.000000
76,-39.539841,85.253372,408380.480895,-337120.096054,6334804.864950,0.360644,0.000000
67,38.337891,2.027611,4999684.568310,3953884.340910,224155.739396,0.312927,0.000000
71,30.351364,33.938980,4571043.283100,2676602.003290,3540833.259169,0.312327,0.000000
80,35.406250,-16.897602,4975555.518396,3536760.181239,-1841993.373827,0.315133,0.000000
74,-32.539276,70.274246,1820214.593985,-1161359.516763,5981435.585855,0.361963,0.000000
88,47.186829,5.108055,4317545.194500,4660375.197886,564086.548490,0.310481,0.000000
63,-79.370186,81.186539,180857.557669,-963630.335353,6281197.526356,0.366270,0.000000
85,67.984650,19.388962,2256114.219960,5579774.194443,2104011.718585,0.311928,0.000000
73,122.834503,83.657204,-383333.009440,594030.480622,6317580.987814,0.366457,0.000000
76,-30.802338,-71.977139,1700160.807097,-1013593.266934,-6042897.478553,0.361291,0.000000
82,38.666122,-7.788788,4934408.431233,3948418.635875,-858642.239393,0.312625,0.000000
76,24.909821,-6.946548,5742608.022501,2666826.360258,-766266.703303,0.314323,0.000000
67,-90.344810,30.920341,-32958.014509,-5476435.354998,3258320.162689,0.398849,0.000000
66,4.647690,-47.527428,4300432.232324,349607.416109,-4681557.374311,0.327732,0.000000
84,111.144531,54.590805,-1336046.296325,3454448.540990,5175123.247851,0.350827,0.000000
70,34.098114,-24.322144,4815562.198602,3260149.550308,-2610838.482810,0.307346,0.000000
66,-80.476273,62.683594,485566.659831,-2894268.433086,5643880.847595,0.377181,0.000000
67,15.716507,-15.125221,5928341.814141,1668224.786147,-1653479.735699,0.308640,0.000000
72,-50.021065,85.869354,296169.951381,-353225.255045,6340129.156194,0.361487,0.000000
72,43.703613,7.304749,4573730.568051,4371303.739106,805574.517761,0.302805,0.000000
109,49.410248,7.408302,4115448.900588,4803315.043136,816932.516784,0.313078,0.000000
65,-95.148346,30.995941,-491048.393911,-5450146.336495,3265507.782268,0.401958,0.000000
62,-40.937149,27.704903,4268926.643918,-3702707.699482,2947591.870806,0.357287,0.000000
61,54.327087,-50.725941,2359266.481929,3286544.395834,-4914301.367805,0.324435,0.000000
74,-10.490936,-38.901726,4887102.865374,-904971.345142,-3983832.578222,0.335777,0.000000
62,-84.915665,63.004623,257258.941372,-2891457.908698,5660212.062236,0.378726,0.000000
84,27.961563,-12.105133,5509113.730112,2924508.774469,-1328776.263943,0.309734,0.000000
57,-56.835777,85.739182,260096.152579,-398010.789575,6339065.446608,0.362018,0.000000
79,58.635376,52.219414,2038049.893530,3343502.040366,5017797.258699,0.331078,0.000000
66,-24.120926,20.275398,5462729.918115,-2445991.921965,2196321.193558,0.341697,0.000000
67,-100.293869,31.296844,-974785.933789,-5367165.099338,3294060.353534,0.404862,0.000000
61,45.428772,58.694397,2331522.096620,2366681.679471,5426325.606303,0.330068,0.000000
56,-149.238846,-4.354797,-5465059.160741,-3252809.197909,-481074.363796,0.422427,0.000000
69,119.601349,86.156120,-211914.649502,373016.797724,6342356.244401,0.366233,0.000000
67,34.016266,-13.794384,5135198.881712,3465856.899120,-1510898.728181,0.313157,0.000000
66,79.230774,62.964218,543163.507768,2855695.083210,5658166.366567,0.340313,0.000000
65,133.060883,58.760437,-2264039.500257,2422718.656354,5430144.297831,0.364576,0.000000
65,-61.434982,-3.908844,3042695.550475,-5588814.728103,-431889.113762,0.378046,0.000000
75,-86.085716,23.263054,400208.970233,-5848988.374704,2503509.370642,0.398407,0.000000
61,61.462860,51.468948,1902004.437428,3497647.788587,4966211.105685,0.326486,0.000000
67,-53.822716,-42.260349,2790634.598003,-3816092.219781,-4267050.437422,0.367795,0.000000
80,44.400436,-6.212097,4530390.310313,4436553.566454,-685580.032416,0.312950,0.000000
70,156.786652,71.575424,-1858259.639951,796963.602754,6028879.548478,0.368192,0.000000
