Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,97.422638,-16.128654,-740251.541551,5682043.034399,-2791865.880046,19.921266,6.666667
1,117.422638,-31.128654,-2516738.677598,4850589.419130,-3278111.888901,3.787524,11.303883
2,127.422638,-18.628654,-3674347.618754,4801913.902139,-2024568.733224,0.000766,14.092945
3,127.422638,-18.628654,-4479904.668816,2862525.215931,-3512338.781024,0.000766,14.092945
4,127.422638,-18.628654,-3404853.510287,4449718.726215,-3037988.877452,0.000766,11.303883
5,127.422638,-18.628654,-4125610.671279,3790686.200027,-3037839.867745,0.000766,6.666667
6,127.422638,-18.628654,-3677281.314886,4394449.626599,-2791865.880046,0.000766,6.009252
7,127.422638,-18.628654,-3932242.332824,4209790.729603,-2729735.302561,0.000766,4.103691
8,127.422638,-18.628654,-3816162.250812,4411696.521860,-2572594.141517,0.000766,3.467358
9,127.422638,-18.628654,-3753275.727516,4510198.940450,-2493204.834065,0.000766,3.289094
10,127.422638,-18.628654,-3724294.715324,4778825.439275,-1987633.285141,0.000766,2.440842
11,127.422638,-18.628654,-3703371.645389,4531316.143823,-2528942.205421,0.000766,2.440842
12,127.422638,-18.628654,-3724855.780632,4591042.291886,-2386349.797774,0.000766,2.211559
13,127.422638,-18.628654,-3704859.871349,4616436.764359,-2368558.558441,0.000766,1.753431
14,127.601471,-19.370232,-3672970.814618,4769196.525226,-2102164.947184,0.000737,1.536326
15,127.601471,-19.370232,-3691235.792992,4702502.803221,-2216712.514466,0.000737,0.814134
16,127.601471,-19.370232,-3652657.538645,4865958.250493,-1908837.933852,0.000737,0.814134
17,127.335167,-18.538971,-3668919.727957,4810018.229769,-2015152.569833,0.000700,0.807682
18,127.335167,-18.538971,-3686205.204236,4710883.824879,-2207417.819936,0.000700,0.807682
19,127.335167,-18.538971,-3675597.151607,4765078.116846,-2106843.751432,0.000700,0.806062
20,127.335167,-18.538971,-3655387.153737,4861860.354602,-1913525.818475,0.000700,0.806062
