Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-171.368530,-4.614746,-6285592.611973,-954138.128304,-509731.733118,24293912867.976677,11.303883
1,-171.368530,-4.614746,-6278250.679837,-953023.640328,594611.718302,24293912867.976677,11.303883
2,148.631470,20.385254,-5106895.887432,3113413.783456,2207725.513170,6669006732.116986,21.473498
3,148.631470,20.385254,-5357255.939716,3266045.529783,1142188.545289,6669006732.116986,21.473498
4,148.631470,20.385254,-6225579.117345,1251738.915101,594611.718302,6669006732.116986,11.303883
5,128.631470,25.385254,-1663146.054921,4932974.089109,3672796.134780,4935404544.344776,11.303883
6,133.631470,29.135254,-3847228.727021,4035547.482113,3087004.140079,2614008345.375315,9.223310
7,133.631470,29.135254,-4464321.520430,3761776.099205,2560337.074423,2614008345.375315,5.113724
8,153.006470,28.666504,-4990515.005592,2542084.624458,3041521.206561,1301477434.272674,8.423664
9,146.756470,33.979004,-4303278.937387,2465112.584491,3997243.865987,103440786.672867,8.423664
10,146.756470,33.979004,-4331816.544040,3414135.751932,3192333.304969,103440786.672867,5.113724
11,146.756470,33.979004,-4701890.451274,2866502.639172,3207287.523579,103440786.672867,3.379402
12,150.662720,33.158691,-4659392.941791,2618717.256308,3468705.789142,66366540.964629,2.215609
13,150.662720,33.158691,-4625794.161828,2815786.537102,3358273.084359,66366540.964629,1.794072
14,148.211548,33.273438,-4537206.808565,2811921.552168,3479352.742709,5049638.265923,1.214623
15,148.211548,33.273438,-4613055.780504,2765907.808848,3416349.265269,5049638.265923,1.059011
16,148.211548,33.273438,-4530816.960699,2873383.564928,3437493.247939,5049638.265923,0.652937
17,148.484222,32.822426,-4573791.588348,2804555.840805,3437425.700154,2631125.567866,0.419538
18,147.982780,32.935541,-4543297.564987,2840866.343008,3447961.017437,997586.358684,0.280577
19,148.222525,33.076210,-4547920.562134,2817355.565900,3461044.134994,478524.318154,0.229588
20,148.293437,32.914151,-4559730.818341,2816868.675979,3445969.785567,408268.060654,0.151115
21,148.395581,33.025000,-4559047.443433,2805229.385629,3456283.663272,236321.304463,0.098084
22,148.283517,33.022893,-4553660.353218,2814207.978741,3456087.705377,56442.817538,0.072424
23,148.283517,33.022893,-4558046.628544,2813294.710773,3451079.300033,56442.817538,0.053681
24,148.283517,33.022893,-4552643.509153,2822271.379013,3450883.219608,56442.817538,0.053681
25,148.280233,32.981983,-4555601.169323,2815768.258922,3452282.671479,11673.298704,0.043516
26,148.243152,32.984690,-4553638.930650,2818629.987555,3452534.476363,7565.114183,0.026152
27,148.272605,33.003115,-4554140.788445,2815703.661865,3454248.343422,6971.866320,0.018541
28,148.269056,32.987943,-4554745.731146,2816467.674324,3452837.081184,1934.203176,0.015389
29,148.256991,32.990109,-4554041.314858,2817357.862402,3453038.624542,792.072490,0.009463
30,148.256991,32.990109,-4554267.236034,2816308.227001,3453593.124232,792.072490,0.006416
31,148.265729,32.990516,-4554450.028539,2816650.375740,3453076.483534,382.182904,0.005420
32,148.264587,32.993192,-4554256.478877,2816656.176441,3453325.343451,33.053839,0.004112
33,148.264587,32.993192,-4554197.298875,2817005.574331,3453119.769877,33.053839,0.002299
34,148.264587,32.993192,-4554115.321378,2816921.118814,3453295.593220,33.053839,0.001864
35,148.264587,32.993192,-4554191.602377,2816897.111386,3453215.119659,33.053839,0.001472
36,148.264587,32.993192,-4554332.758802,2816632.165168,3453244.870178,33.053839,0.001472
37,148.263470,32.992383,-4554243.112509,2816770.641686,3453250.113359,13.281256,0.000829
38,148.263470,32.992383,-4554208.314185,2816754.030103,3453309.157564,13.281256,0.000640
39,148.263470,32.992383,-4554241.096489,2816709.256232,3453302.489514,13.281256,0.000391
40,148.263585,32.992841,-4554225.209440,2816746.989579,3453292.729537,10.421160,0.000340
41,148.263773,32.992779,-4554237.628839,2816734.035940,3453286.955509,9.487554,0.000238
42,148.263575,32.992596,-4554237.265879,2816755.577231,3453269.977965,8.755905,0.000138
43,148.263575,32.992596,-4554243.566334,2816743.715068,3453271.335334,8.755905,0.000118
44,148.263709,32.992691,-4554239.022486,2816741.841045,3453278.806083,8.643185,0.000078
45,148.263566,32.992677,-4554227.299878,2816758.697246,3453280.505404,8.500812,0.000078
46,148.263566,32.992677,-4554236.569075,2816751.674677,3453274.052683,8.500812,0.000064
47,148.263566,32.992677,-4554236.834024,2816747.264992,3453277.278391,8.500812,0.000037
48,148.263606,32.992658,-4554235.673553,2816751.079386,3453275.708118,8.480147,0.000034
49,148.263606,32.992658,-4554235.515910,2816749.828143,3453276.928404,8.480147,0.000023
50,148.263606,32.992658,-4554234.158385,2816752.078481,3453276.883488,8.480147,0.000013
51,148.263607,32.992668,-4554235.215940,2816750.703538,3453276.612104,8.477802,0.000010
52,148.263598,32.992667,-4554234.801566,2816751.484972,3453276.521800,8.476694,0.000006
53,148.263598,32.992667,-4554235.341153,2816751.086821,3453276.137535,8.476694,0.000005
54,148.263598,32.992667,-4554234.926779,2816751.868254,3453276.047231,8.476694,0.000005
55,148.263601,32.992663,-4554235.102663,2816751.381717,3453276.211025,8.476507,0.000003
56,148.263597,32.992663,-4554234.939447,2816751.650799,3453276.206822,8.476423,0.000002
57,148.263598,32.992665,-4554234.911310,2816751.500615,3453276.365362,8.476380,0.000002
58,148.263598,32.992665,-4554234.836736,2816751.672702,3453276.323625,8.476380,0.000001
59,148.263597,32.992664,-4554234.906735,2816751.618729,3453276.275657,8.476365,0.000001
60,148.263597,32.992664,-4554234.981309,2816751.446642,3453276.317394,8.476365,0.000001
61,148.263598,32.992665,-4554234.927666,2816751.516650,3453276.330944,8.476360,0.000001
62,148.263599,32.992664,-4554234.949255,2816751.507166,3453276.310347,8.476357,0.000000
63,148.263598,32.992664,-4554234.922598,2816751.565319,3453276.298151,8.476355,0.000000
64,148.263598,32.992664,-4554234.940056,2816751.546038,3453276.290902,8.476355,0.000000
65,148.263598,32.992664,-4554234.940291,2816751.531422,3453276.302437,8.476355,0.000000
66,148.263598,32.992664,-4554234.914220,2816751.553035,3453276.319078,8.476354,0.000000
67,148.263598,32.992664,-4554234.927080,2816751.553190,3453276.302107,8.476354,0.000000
68,148.263598,32.992664,-4554234.932623,2816751.541684,3453276.304167,8.476354,0.000000
69,148.263598,32.992664,-4554234.933361,2816751.545805,3453276.299862,8.476354,0.000000
70,148.263598,32.992664,-4554234.931422,2816751.545591,3453276.302576,8.476354,0.000000
71,148.263598,32.992664,-4554234.929620,2816751.551451,3453276.300189,8.476354,0.000000
72,148.263598,32.992664,-4554234.929285,2816751.550909,3453276.301066,8.476353,0.000000
73,148.263598,32.992664,-4554234.931323,2816751.548357,3453276.300464,8.476353,0.000000
74,148.263598,32.992664,-4554234.925460,2816751.556420,3453276.301612,8.476353,0.000000
75,148.263598,32.992664,-4554234.928350,2816751.552321,3453276.301148,8.476353,0.000000
76,148.263598,32.992664,-4554234.927882,2816751.553026,3453276.301188,8.476353,0.000000
77,148.263598,32.992664,-4554234.927510,2816751.553522,3453276.301274,8.476353,0.000000
78,148.263598,32.992664,-4554234.927648,2816751.553379,3453276.301209,8.476353,0.000000
79,148.263598,32.992664,-4554234.927765,2816751.553203,3453276.301199,8.476353,0.000000
80,148.263598,32.992664,-4554234.927823,2816751.553115,3453276.301194,8.476353,0.000000
81,148.263598,32.992664,-4554234.927894,2816751.553000,3453276.301194,8.476353,0.000000
82,148.263598,32.992664,-4554234.927862,2816751.553051,3453276.301195,8.476353,0.000000
83,148.263598,32.992664,-4554234.927875,2816751.553032,3453276.301193,8.476353,0.000000
84,148.263598,32.992664,-4554234.927881,2816751.553023,3453276.301192,8.476353,0.000000
85,148.263598,32.992664,-4554234.927888,2816751.553012,3453276.301192,8.476353,0.000000
86,148.263598,32.992664,-4554234.927882,2816751.553025,3453276.301190,8.476353,0.000000
87,148.263598,32.992664,-4554234.927880,2816751.553027,3453276.301191,8.476353,0.000000
88,148.263598,32.992664,-4554234.927882,2816751.553022,3453276.301192,8.476353,0.000000
89,148.263598,32.992664,-4554234.927882,2816751.553023,3453276.301191,8.476353,0.000000
90,148.263598,32.992664,-4554234.927882,2816751.553023,3453276.301192,8.476353,0.000000
91,148.263598,32.992664,-4554234.927881,2816751.553023,3453276.301192,8.476353,0.000000
92,148.263598,32.992664,-4554234.927881,2816751.553023,3453276.301192,8.476353,0.000000
93,148.263598,32.992664,-4554234.927881,2816751.553023,3453276.301192,8.476353,0.000000
94,148.263598,32.992664,-4554234.927881,2816751.553023,3453276.301192,8.476353,0.000000
95,148.263598,32.992664,-4554234.927881,2816751.553023,3453276.301192,8.476353,0.000000
