Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
79,134.898865,-15.006134,-4349532.218078,4364914.480128,-1640766.601569,0.504205,0.000000
108,131.446185,3.393413,-4214439.925005,4772582.947638,375009.238265,0.491481,0.000000
111,132.368644,-8.647372,-4249675.985641,4659107.094948,-952623.039471,0.494968,0.000000
125,131.236791,2.697803,-4199663.771451,4791026.352675,298199.579657,0.491476,0.000000
103,131.301381,-0.377075,-4209605.975935,4791461.047625,-41694.497106,0.491472,0.000000
126,131.130012,-2.671210,-4190818.263397,4798948.478018,-295262.308957,0.491833,0.000000
116,131.228552,4.195702,-4192411.900518,4784141.039531,463530.483715,0.492429,0.000000
89,131.155382,0.131380,-4197462.235032,4802262.999345,14527.184086,0.491361,0.000000
104,131.242508,1.138120,-4203946.854385,4794947.376320,125838.675164,0.491197,0.000000
129,131.158576,0.739214,-4197393.901820,4801644.537086,81735.783984,0.491366,0.000000
117,131.146553,0.171247,-4196714.542798,4802900.963844,18935.471689,0.491362,0.000000
102,131.262072,2.182831,-4203376.370091,4790995.389268,241307.739458,0.491528,0.000000
82,131.141728,0.772477,-4195949.878549,4802842.029717,85413.565730,0.491362,0.000000
79,131.415301,-2.601306,-4214896.481914,4778288.643854,-287540.700205,0.491526,0.000000
110,132.848879,-11.144064,-4256305.027773,4588533.064150,-1224645.181695,0.498929,0.000000
131,131.117593,0.355582,-4194224.731831,4804951.005517,39318.006359,0.491338,0.000000
73,131.240263,-0.730051,-4204243.959613,4795665.151459,-80722.724690,0.491275,0.000000
113,131.191030,-0.276129,-4200411.809162,4799607.661082,-30532.623048,0.491373,0.000000
77,131.239136,-1.052559,-4203783.889131,4795330.763334,-116379.523254,0.491438,0.000000
91,131.268318,-0.579274,-4206717.264881,4793749.177139,-64051.707257,0.491324,0.000000
105,131.181443,-1.514024,-4198200.730832,4798701.172895,-167393.022871,0.491418,0.000000
90,131.295507,-0.415589,-4209095.285326,4791870.464777,-45953.094633,0.491359,0.000000
63,132.120689,-0.410561,-4277672.325574,4730758.531488,-45397.061205,0.490763,0.000000
96,132.024382,-8.124234,-4227253.860299,4690825.183668,-895383.911993,0.494796,0.000000
72,131.261263,-1.928654,-4203973.604282,4791812.635564,-213220.061358,0.491491,0.000000
97,131.148140,1.398724,-4195624.023503,4801384.542185,154647.796090,0.491274,0.000000
106,131.308024,1.318201,-4209145.282441,4789816.526859,145746.561903,0.491442,0.000000
107,131.122499,-0.027310,-4194715.974326,4804683.163848,-3019.780882,0.491363,0.000000
126,131.102840,-0.245210,-4193029.464956,4806079.003048,-27113.809039,0.491371,0.000000
87,131.284059,0.815628,-4207824.216680,4792354.213173,90184.443612,0.491304,0.000000
138,131.184518,0.077753,-4199910.842483,4800136.049197,8597.499544,0.491351,0.000000
139,131.120346,1.150425,-4193696.029099,4803879.324667,127199.048674,0.491367,0.000000
72,136.153894,16.699161,-4407155.618175,4233123.292075,1820969.642705,0.507487,0.000000
91,131.183311,-0.168268,-4199795.607912,4800208.320765,-18606.092086,0.491385,0.000000
85,131.212800,3.146948,-4195988.986533,4790879.652287,347800.129688,0.491701,0.000000
89,131.201675,2.388294,-4197726.831858,4794741.969694,264008.962095,0.491556,0.000000
