Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,46.082581,27.304260,3933871.317275,4085410.434459,2908214.044757,19.150494,8.819171
1,68.582581,14.804260,2252217.805820,5741843.314497,1619170.427202,11.476962,13.642255
2,89.832581,38.554260,14593.476743,4994296.230267,3953741.454706,4.193957,20.327185
3,145.457581,25.429260,-4747644.472843,3268143.549796,2722095.322608,0.836556,33.837336
4,-144.229919,66.366760,-2080419.254076,-1498794.836301,5820462.366020,0.533252,54.283128
5,-133.995544,49.569885,-2878707.177706,-2981452.496003,4831901.152569,0.093124,39.549087
6,-133.995544,49.569885,-2563633.943644,-2219692.443512,5383867.273315,0.093124,19.774544
7,-133.995544,49.569885,-4062356.140406,-1858900.515571,4536921.813965,0.093124,10.480843
8,-145.982849,49.701721,-3425905.218421,-2312294.624123,4841397.592818,0.086702,6.289033
9,-145.982849,49.701721,-3453682.950685,-2854351.197519,4524096.001603,0.086702,5.277508
10,-138.600342,48.577759,-3171305.470036,-2795848.241939,4759622.799485,0.061656,3.613831
11,-138.600342,48.577759,-3131840.219684,-2262432.365572,5057786.450692,0.061656,3.613831
12,-138.600342,48.577759,-3296215.507286,-2423042.999456,4876901.090409,0.061656,3.059689
13,-138.600342,48.577759,-3230016.246760,-2475859.725861,4894516.513718,0.061656,2.904682
14,-138.600342,48.577759,-3232088.968164,-3016732.777059,4581711.447821,0.061656,2.904682
15,-133.044922,44.345581,-2974500.712518,-3765998.541041,4187132.041188,0.058748,2.904682
16,-133.044922,44.345581,-3194405.829918,-3042179.579061,4591239.625391,0.058748,2.864620
17,-130.842812,42.105476,-2989998.481218,-3973046.724414,3981033.611736,0.057514,2.864620
18,-130.842812,42.105476,-3159805.993773,-3252586.462844,4470153.077970,0.057514,1.812438
19,-130.842812,42.105476,-3137288.581927,-3357573.194507,4408376.151040,0.057514,1.433406
20,-129.760561,40.472393,-3107611.018528,-3735095.581548,4118028.278412,0.056222,1.991211
21,-129.760561,40.472393,-3077085.059464,-3810233.622580,4072166.608656,0.056222,1.212852
22,-127.841549,38.298538,-3045970.171648,-4140385.363822,3763568.135635,0.055944,1.212852
23,-128.555564,38.293152,-3124051.692060,-3919662.853110,3931034.226272,0.054534,1.296114
24,-126.636553,36.119298,-3043766.372147,-4334933.425853,3541180.178451,0.054374,1.296114
25,-127.105077,35.021599,-3154575.518099,-4170328.370662,3639829.515317,0.052789,1.586039
26,-123.501316,30.125040,-3047522.604527,-4604074.589324,3182370.283133,0.052509,3.057753
27,-122.636485,25.481364,-3107097.095635,-4851623.018045,2727307.018124,0.048516,4.349450
28,-122.636485,25.481364,-3131789.156597,-4458236.952747,3305001.630636,0.048516,2.741968
29,-122.636485,25.481364,-3166222.904100,-4686713.497802,2938061.264025,0.048516,2.650918
30,-119.843670,16.808950,-3039225.771337,-5297420.828123,1832603.802843,0.047791,4.986074
31,-119.843670,16.808950,-3135304.503512,-4894816.199958,2616321.623721,0.047791,4.073273
32,-119.848197,15.704066,-2985259.536022,-5508694.036086,1188957.536084,0.046684,4.073273
33,-119.848197,15.704066,-3103632.848807,-5115942.636554,2200588.343352,0.046684,2.073762
34,-121.248000,19.211610,-3164529.512280,-5074121.106891,2210598.413314,0.046658,2.073762
35,-119.157351,11.740526,-3042900.859662,-5454159.395732,1289312.987981,0.046495,3.173451
36,-120.557154,15.248070,-3165316.201641,-5286422.138506,1642245.319516,0.045864,3.173451
37,-120.557154,15.248070,-3111859.916342,-5271811.181426,1784239.629878,0.045864,2.073762
38,-119.856120,13.770519,-3084507.936011,-5373642.799170,1508334.381351,0.045515,1.108026
39,-119.514659,10.821975,-3086646.874073,-5452374.632325,1189670.132152,0.045023,1.890391
40,-119.514659,10.821975,-3109321.085812,-5359273.587416,1508510.578174,0.045023,1.412341
41,-119.741655,9.350163,-3122367.019977,-5464856.711986,1029395.627036,0.044807,1.855546
