Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,-143.097382,50.047462,-3281648.137952,-2464165.640024,4866180.784046,59977.078257,11.303883
1,-143.097382,50.047462,-2552924.876877,-1916972.660905,5503119.197245,59977.078257,11.303883
2,176.902618,75.047462,-1648433.552451,89200.416048,6140134.706967,55231.465883,21.473498
3,156.902618,67.547462,-2247093.615226,958345.278149,5872000.995284,31396.549064,27.054472
4,156.902618,67.547462,-3064660.423036,-645971.521546,5537557.699260,31396.549064,15.492494
5,169.402618,42.234962,-4648828.442346,869784.705831,4264963.005060,4913.590374,17.998240
6,169.402618,42.234962,-2926966.794436,2988646.848055,4798572.840958,4913.590374,17.998240
7,141.902618,1.922462,-5016552.933236,3933109.756295,212535.810553,3618.693598,25.682946
8,145.027618,35.594337,-4254739.624223,2976145.320286,3691684.155909,196.560421,21.507484
9,145.027618,35.594337,-5041772.442261,2199148.015927,3217937.526552,196.560421,16.080674
10,145.027618,35.594337,-5063683.206466,3374927.386878,1903989.820990,196.560421,9.173772
11,145.027618,35.594337,-4922310.169908,3013594.147542,2705625.366861,196.560421,6.367936
12,145.027618,35.594337,-4809406.941001,2818590.951001,3088928.093364,196.560421,5.445065
13,151.880646,31.435707,-4804036.987336,2567202.679785,3307206.764725,138.773601,3.903801
14,149.040680,31.335075,-4675923.924062,2805061.974361,3297681.660307,45.177175,3.441248
15,147.744141,33.489864,-4502947.855567,2841792.370946,3499396.796694,5.970636,1.992483
16,147.744141,33.489864,-4477650.483834,2947054.579277,3444731.483648,5.970636,1.335295
17,147.744141,33.489864,-4584020.479159,2851254.036407,3385336.062072,5.970636,0.799519
18,148.572795,32.865885,-4575891.126975,2796118.938106,3441474.967883,2.129219,0.603980
19,148.138458,32.721546,-4561927.071360,2835302.869215,3428018.770743,1.832912,0.475079
20,148.049884,33.141790,-4536039.807063,2828943.980757,3467136.381673,1.192471,0.287420
21,148.333483,32.898776,-4562486.894043,2814167.349804,3444538.282903,1.065624,0.209067
22,148.165071,32.870914,-4555620.701644,2828450.866363,3441943.442729,0.996872,0.168412
23,148.149580,33.013318,-4547560.858451,2825150.446935,3455197.252580,0.760178,0.103601
24,148.149580,33.013318,-4557045.118285,2820490.597273,3446555.873917,0.760178,0.072444
25,148.149580,33.013318,-4548971.283723,2817194.728919,3459802.359664,0.760178,0.072444
26,148.217576,32.979265,-4552658.673392,2820834.912063,3452029.796343,0.754897,0.049248
27,148.206746,33.029570,-4549542.433953,2820094.289769,3456708.593360,0.743505,0.036458
28,148.180871,33.008868,-4549331.512673,2822808.281541,3454783.398411,0.742541,0.025755
29,148.205692,32.999242,-4551048.198737,2821143.542939,3453888.131350,0.740836,0.017410
30,148.200014,33.016813,-4549866.381716,2821035.178353,3455522.269758,0.739534,0.012821
31,148.200014,33.016813,-4551020.003095,2820229.820350,3454666.161525,0.739534,0.009149
32,148.206310,33.005726,-4550745.742319,2820888.064894,3454491.200853,0.739365,0.007445
33,148.208503,33.009438,-4550663.058469,2820595.760009,3454836.458145,0.739135,0.005846
34,148.203710,33.012197,-4550285.408003,2820888.575815,3455093.061596,0.738938,0.003297
35,148.203710,33.012197,-4550338.470808,2820669.219719,3455201.530756,0.738938,0.002557
36,148.203710,33.012197,-4550487.502245,2820687.334303,3454991.878700,0.738938,0.001569
37,148.204386,33.009943,-4550482.408092,2821025.429342,3454724.340271,0.738935,0.001569
38,148.202732,33.011051,-4550296.128986,2821002.784000,3454986.412942,0.738923,0.001144
39,148.203634,33.011347,-4550325.345882,2820921.657931,3455013.986191,0.738919,0.000907
40,148.203784,33.010571,-4550372.586880,2820934.457864,3454941.803398,0.738919,0.000564
41,148.203221,33.011005,-4550322.547884,2820965.421119,3454982.153909,0.738918,0.000397
42,148.203568,33.011067,-4550336.456726,2820935.798785,3454987.982475,0.738917,0.000320
43,148.203589,33.010803,-4550351.044644,2820942.533992,3454963.435823,0.738917,0.000203
44,148.203589,33.010803,-4550354.352043,2820926.038977,3454972.486781,0.738917,0.000138
45,148.203621,33.010960,-4550344.577546,2820935.042646,3454977.971895,0.738917,0.000098
46,148.203682,33.010891,-4550351.081576,2820932.413651,3454971.595322,0.738917,0.000075
47,148.203682,33.010891,-4550349.437107,2820938.131072,3454969.109718,0.738917,0.000049
48,148.203636,33.010919,-4550347.418445,2820935.157505,3454974.162208,0.738917,0.000034
49,148.203636,33.010919,-4550349.343560,2820935.958325,3454970.994242,0.738917,0.000025
50,148.203636,33.010919,-4550348.287453,2820933.385169,3454974.462748,0.738917,0.000013
51,148.203636,33.010919,-4550348.381003,2820935.557915,3454972.578225,0.738917,0.000013
52,148.203615,33.010916,-4550345.199148,2820938.501972,3454974.353120,0.738917,0.000013
53,148.203615,33.010916,-4550347.465220,2820936.243879,3454973.219947,0.738917,0.000006
54,148.203616,33.010907,-4550347.054102,2820937.673233,3454972.598546,0.738917,0.000006
55,148.203616,33.010907,-4550347.127648,2820936.636911,3454973.342810,0.738917,0.000004
56,148.203616,33.010907,-4550346.621290,2820937.226460,3454973.527104,0.738917,0.000004
57,148.203616,33.010907,-4550346.958862,2820936.833428,3454973.404241,0.738917,0.000004
58,148.203619,33.010902,-4550347.885492,2820937.085528,3454971.987540,0.738917,0.000004
59,148.203619,33.010902,-4550347.097145,2820936.957634,3454973.122602,0.738917,0.000003
60,148.203619,33.010902,-4550347.166286,2820937.019737,3454972.981783,0.738917,0.000002
61,148.203619,33.010902,-4550347.166964,2820937.078366,3454972.933347,0.738917,0.000002
62,148.203619,33.010902,-4550347.440818,2820937.092262,3454972.563814,0.738917,0.000002
63,148.203619,33.010902,-4550347.440479,2820937.062947,3454972.588032,0.738917,0.000001
