Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
100,148.338013,-33.024611,-4556544.888020,2810005.045863,-3456475.265984,0.881907,0.000000
101,148.337923,-33.024603,-4556540.918155,2810012.456324,-3456474.480127,0.881907,0.000000
106,148.337915,-33.024594,-4556540.967108,2810013.312280,-3456473.724817,0.881907,0.000000
96,148.338005,-33.024608,-4556544.676619,2810005.743093,-3456474.979769,0.881907,0.000000
101,148.337463,33.014076,-4556761.554449,2810198.960763,3455267.792075,0.881852,0.000000
95,148.337923,-33.024602,-4556540.946386,2810012.497412,-3456474.409981,0.881907,0.000000
105,148.337925,-33.024604,-4556540.943557,2810012.220857,-3456474.637012,0.881907,0.000000
117,148.337537,33.014118,-4556763.015838,2810191.756531,3455271.697746,0.881852,0.000000
107,148.337925,-33.024604,-4556540.975972,2810012.253614,-3456474.568114,0.881907,0.000000
97,148.338017,-33.024621,-4556544.611380,2810004.376595,-3456476.168679,0.881907,0.000000
97,148.338025,-33.024623,-4556544.869567,2810003.665112,-3456476.405140,0.881907,0.000000
90,148.337469,33.014069,-4556762.237785,2810198.726632,3455267.086079,0.881852,0.000000
109,148.337477,33.014068,-4556762.642347,2810198.177890,3455266.999429,0.881852,0.000000
93,148.337468,33.014060,-4556762.613440,2810199.081900,3455266.306978,0.881852,0.000000
94,148.337471,33.014071,-4556762.192501,2810198.518799,3455267.313300,0.881852,0.000000
109,148.337462,33.014065,-4556762.070631,2810199.441506,3455266.727524,0.881852,0.000000
117,148.337471,33.014073,-4556762.050665,2810198.480591,3455267.529967,0.881852,0.000000
92,148.337466,33.014069,-4556762.070380,2810198.970990,3455267.107964,0.881852,0.000000
89,148.338023,-33.024619,-4556544.953967,2810003.967137,-3456476.050730,0.881907,0.000000
91,148.338012,-33.024614,-4556544.703619,2810005.005333,-3456475.540176,0.881907,0.000000
100,148.337925,-33.024604,-4556540.965102,2810012.201305,-3456474.624588,0.881907,0.000000
105,148.338029,-33.024630,-4556544.709166,2810003.162959,-3456477.020677,0.881907,0.000000
90,148.337458,33.014069,-4556761.651861,2810199.619075,3455267.132643,0.881852,0.000000
109,148.337457,33.014070,-4556761.534224,2810199.695927,3455267.224656,0.881852,0.000000
97,148.337465,33.014075,-4556761.652883,2810198.901228,3455267.711226,0.881852,0.000000
104,148.337477,33.014070,-4556762.510265,2810198.064893,3455267.263737,0.881852,0.000000
101,148.337466,33.014072,-4556761.896439,2810198.914059,3455267.381813,0.881852,0.000000
97,148.337474,33.014056,-4556763.087912,2810198.782934,3455265.926964,0.881852,0.000000
95,148.337988,-33.024626,-4556542.908789,2810006.559206,-3456476.635601,0.881907,0.000000
98,148.337478,33.014070,-4556762.592623,2810197.983194,3455267.221853,0.881852,0.000000
107,148.338023,-33.024620,-4556544.957223,2810003.943125,-3456476.065858,0.881907,0.000000
95,148.337490,33.014059,-4556763.753160,2810197.400722,3455266.172154,0.881852,0.000000
105,148.338010,-33.024612,-4556544.719139,2810005.223932,-3456475.343328,0.881907,0.000000
99,148.338025,-33.024623,-4556544.877385,2810003.680485,-3456476.382489,0.881907,0.000000
103,148.337939,-33.024639,-4556539.846191,2810010.038123,-3456477.836563,0.881907,0.000000
98,148.337999,-33.024602,-4556544.697704,2810006.405721,-3456474.417070,0.881907,0.000000
98,148.337477,33.014067,-4556762.700689,2810198.166015,3455266.932597,0.881852,0.000000
104,148.337926,-33.024605,-4556540.932109,2810012.106950,-3456474.743984,0.881907,0.000000
99,148.337467,33.014069,-4556762.090018,2810198.867392,3455267.165933,0.881852,0.000000
101,148.337466,33.014072,-4556761.904281,2810198.850115,3455267.423198,0.881852,0.000000
107,148.337932,-33.024610,-4556540.971333,2810011.484028,-3456475.195651,0.881907,0.000000
