Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
0,24.861160,55.857101,3498746.860524,2008713.946929,4923524.903834,13.185604,3.333333
1,22.361160,65.857101,2419331.836795,995258.528064,5797448.428356,9.233827,5.651942
2,11.111160,70.857101,2058505.188251,404279.074050,6003072.213673,6.796397,8.640184
3,-179.513840,86.642899,-374735.686770,-3179.745168,6345770.495158,2.480637,14.927487
4,152.673660,65.392899,-2365997.893811,1222560.343876,5776086.972604,1.877456,24.119476
5,154.314285,59.455399,-2928404.437093,1408446.752587,5469891.496232,1.480925,17.279308
6,154.314285,59.455399,-1662403.336758,384099.639103,6125085.364615,1.480925,8.909928
7,176.609207,70.197586,-2163406.699886,128181.168231,5978543.544449,1.237711,11.114613
8,162.405106,45.412430,-4275241.748101,1355767.280109,4519642.225945,0.662428,13.708006
9,162.405106,45.412430,-3548584.218515,-291748.442593,5274049.803197,0.662428,13.708006
10,167.439285,11.955399,-6091322.288588,1357187.280090,1312576.044477,0.457317,21.104708
11,167.439285,11.955399,-4696385.395954,426486.249130,4280098.457458,0.457317,15.951228
12,167.439285,11.955399,-5587684.825952,2601630.053589,1634601.945732,0.457317,15.951228
13,160.067459,-18.508469,-3795006.386017,1464474.899269,-4896152.579787,0.354610,15.951228
14,159.393326,5.836014,-5939317.219926,2233232.207919,644220.020832,0.330786,13.653179
15,163.584839,2.809586,-6110854.041568,1800279.358868,310545.898027,0.281491,10.988215
16,163.584839,2.809586,-5976782.606039,2083877.805278,-782323.328812,0.281491,5.790183
17,163.584839,2.809586,-6083116.890793,1793165.977964,-676602.526144,0.281491,4.650097
18,162.179262,-4.376632,-6054517.126579,1946310.329027,-483481.818705,0.277571,3.923822
19,162.188432,4.563397,-5958694.331161,1994351.049023,1090478.393000,0.277014,3.923822
20,162.884343,1.451484,-6093723.258169,1876497.015099,160479.992855,0.275077,3.720164
21,162.357825,-0.684595,-6077728.455589,1932894.144899,-75696.882839,0.274087,2.175073
22,162.357825,-0.684595,-6074114.465425,1926267.454307,273413.488165,0.274087,1.337065
23,162.357825,-0.684595,-6086099.991438,1903440.538149,129689.049039,0.274087,1.301478
24,162.540603,-0.870446,-6083597.575448,1913412.278845,-96245.274955,0.274081,0.929636
25,162.541016,0.197714,-6084272.800541,1913576.470841,21862.032903,0.273937,0.473866
26,162.541016,0.197714,-6080998.659950,1923247.083491,-56445.299023,0.273937,0.445823
27,162.541016,0.197714,-6080966.135731,1923188.595063,61663.993462,0.273937,0.445823
28,162.472345,-0.066392,-6082006.867135,1920877.352046,-7341.258046,0.273924,0.258704
29,162.461037,0.245643,-6083156.977589,1917232.304136,7260.406325,0.273916,0.129352
30,162.426702,0.113590,-6079115.863837,1929960.880472,15210.046371,0.273913,0.129352
31,162.429632,0.302621,-6080493.014586,1925385.426127,33461.992655,0.273907,0.080685
32,162.429632,0.302621,-6079395.579069,1929047.140438,18860.450274,0.273907,0.080685
33,162.419583,0.175093,-6080211.276098,1926469.585877,19360.714352,0.273898,0.062886
34,162.419583,0.175093,-6080355.909685,1925928.695639,26411.369531,0.273898,0.031443
35,162.419583,0.175093,-6080618.700685,1925180.674753,19610.846346,0.273898,0.031443
36,162.419583,0.175093,-6080238.066333,1926416.933212,15897.910512,0.273898,0.016317
37,162.419583,0.175093,-6080421.905377,1925812.036354,18620.079935,0.273898,0.013754
38,162.419583,0.175093,-6080316.609944,1926140.817263,18990.397175,0.273898,0.006877
39,162.419583,0.175093,-6080263.947822,1926305.203107,19175.555771,0.273898,0.003439
40,162.419583,0.175093,-6080237.613160,1926387.394876,19268.135064,0.273898,0.001719
41,162.419583,0.175093,-6080224.444929,1926428.490473,19314.424708,0.273898,0.000860
42,162.419583,0.175093,-6080217.860588,1926449.038199,19337.569530,0.273898,0.000430
43,162.419583,0.175093,-6080214.568362,1926459.312044,19349.141941,0.273898,0.000215
44,162.419583,0.175093,-6080212.922234,1926464.448962,19354.928146,0.273898,0.000107
45,162.419583,0.175093,-6080212.099167,1926467.017420,19357.821249,0.273898,0.000054
46,162.419583,0.175093,-6080211.687633,1926468.301649,19359.267800,0.273898,0.000027
47,162.419583,0.175093,-6080211.481865,1926468.943763,19359.991076,0.273898,0.000013
48,162.419583,0.175093,-6080211.378981,1926469.264820,19360.352714,0.273898,0.000007
49,162.419583,0.175093,-6080211.327540,1926469.425349,19360.533533,0.273898,0.000003
50,162.419583,0.175093,-6080211.292339,1926469.539353,19360.246442,0.273898,0.000002
51,162.419583,0.175093,-6080211.301819,1926469.505613,19360.623942,0.273898,0.000001
52,162.419583,0.175093,-6080211.286588,1926469.554180,19360.574772,0.273898,0.000001
53,162.419583,0.175093,-6080211.288958,1926469.545745,19360.669147,0.273898,0.000000
54,162.419583,0.175093,-6080211.282528,1926469.565811,19360.691749,0.273898,0.000000
55,162.419583,0.175093,-6080211.279609,1926469.574790,19360.714847,0.273898,0.000000
56,162.419583,0.175093,-6080211.279313,1926469.575844,19360.703051,0.273898,0.000000
57,162.419583,0.175093,-6080211.274638,1926469.590366,19360.725901,0.273898,0.000000
58,162.419583,0.175093,-6080211.275368,1926469.588122,19360.720126,0.273898,0.000000
59,162.419583,0.175093,-6080211.275733,1926469.586999,19360.717239,0.273898,0.000000
60,162.419583,0.175093,-6080211.276500,1926469.584623,19360.712939,0.273898,0.000000
61,162.419583,0.175093,-6080211.276280,1926469.585316,19360.712908,0.273898,0.000000
62,162.419583,0.175093,-6080211.275878,1926469.586570,19360.714321,0.273898,0.000000
63,162.419583,0.175093,-6080211.275988,1926469.586224,19360.714336,0.273898,0.000000
64,162.419583,0.175093,-6080211.276006,1926469.586158,19360.715074,0.273898,0.000000
65,162.419583,0.175093,-6080211.276207,1926469.585531,19360.714367,0.273898,0.000000
66,162.419583,0.175093,-6080211.276052,1926469.586017,19360.714713,0.273898,0.000000
67,162.419583,0.175093,-6080211.276148,1926469.585720,19360.714175,0.273898,0.000000
68,162.419583,0.175093,-6080211.276120,1926469.585807,19360.714171,0.273898,0.000000
69,162.419583,0.175093,-6080211.276128,1926469.585781,19360.714218,0.273898,0.000000
70,162.419583,0.175093,-6080211.276113,1926469.585829,19360.714285,0.273898,0.000000
71,162.419583,0.175093,-6080211.276094,1926469.585890,19360.714328,0.273898,0.000000
72,162.419583,0.175093,-6080211.276096,1926469.585884,19360.714340,0.273898,0.000000
73,162.419583,0.175093,-6080211.276097,1926469.585880,19360.714346,0.273898,0.000000
74,162.419583,0.175093,-6080211.276096,1926469.585882,19360.714353,0.273898,0.000000
75,162.419583,0.175093,-6080211.276095,1926469.585884,19360.714360,0.273898,0.000000
76,162.419583,0.175093,-6080211.276097,1926469.585879,19360.714352,0.273898,0.000000
77,162.419583,0.175093,-6080211.276097,1926469.585878,19360.714355,0.273898,0.000000
78,162.419583,0.175093,-6080211.276097,1926469.585879,19360.714355,0.273898,0.000000
