Iteration,Longitude(deg),Latitude(deg),X(m),Y(m),Z(m),Error,Step Size
102,162.428811,-0.254398,-6080490.114706,1925480.444229,-28129.731387,0.273895,0.000000
50,18.133835,8.984047,5987475.608199,1960922.955068,989419.506317,16.254600,0.000000
78,162.465084,0.008198,-6081767.378154,1921649.375288,906.481374,0.273867,0.000000
56,-30.261337,63.345276,2478053.936315,-1445815.523473,5677346.958143,2.969596,0.000000
85,162.601194,-0.022239,-6086314.839553,1907196.155841,-2459.064769,0.273941,0.000000
104,162.571838,-0.223370,-6085291.403151,1910299.971369,-24698.938211,0.273894,0.000000
85,162.461781,0.018530,-6081656.350623,1921999.843167,2048.967972,0.273899,0.000000
80,162.533723,0.165645,-6084039.916359,1914354.237663,18316.077646,0.273909,0.000000
93,162.530907,0.230494,-6083922.178881,1914645.806494,25486.662923,0.273923,0.000000
86,162.437612,-0.010621,-6080845.248259,1924565.215566,-1174.410124,0.273897,0.000000
52,-41.768372,-77.258308,1052562.740857,-940054.693580,-6199196.827190,2.379860,0.000000
88,162.440122,0.086314,-6080922.807971,1924296.674060,9544.137481,0.273886,0.000000
89,162.459784,0.021569,-6081589.247092,1922211.771391,2384.954679,0.273868,0.000000
84,162.612826,0.565485,-6086407.897101,1905868.442280,62527.055208,0.273953,0.000000
106,162.436554,0.413634,-6080652.422819,1924627.688140,45736.938555,0.273902,0.000000
109,162.566166,-0.010193,-6085148.100663,1910916.770761,-1127.134849,0.273931,0.000000
52,48.639450,-6.634888,4186602.434459,4755364.813058,-732042.035960,28.388712,0.000000
88,162.440714,-0.058522,-6080946.396012,1924235.007185,-6471.051483,0.273888,0.000000
104,162.398522,0.170999,-6079504.005115,1928704.932875,18908.066730,0.273887,0.000000
120,162.449326,-0.123900,-6081224.580002,1923317.509139,-13700.088694,0.273890,0.000000
51,-20.180634,-34.280037,4951940.636792,-1820059.253262,-3572156.466689,4.334448,0.000000
108,162.457406,0.055025,-6081507.083602,1922463.501323,6084.361543,0.273895,0.000000
83,162.439997,-0.190336,-6080892.144515,1924301.533082,-21046.190017,0.273892,0.000000
51,-13.314651,17.403503,5924337.292163,-1402053.696506,1895492.125659,5.543508,0.000000
79,162.444115,0.332544,-6080962.017713,1923842.856506,36770.654331,0.273889,0.000000
92,162.537920,0.642484,-6083825.446343,1913796.938341,71040.799112,0.273926,0.000000
98,162.428304,0.006714,-6080532.585620,1925553.040318,742.420545,0.273890,0.000000
98,162.431156,0.251203,-6080570.410806,1925232.020641,27776.553543,0.273890,0.000000
51,23.217346,1.836273,5858620.204963,2513107.609570,203010.518894,18.824856,0.000000
86,162.450912,0.039335,-6081290.526009,1923153.161974,4349.383541,0.273896,0.000000
94,162.470459,-0.049926,-6081945.403020,1921078.088808,-5520.575696,0.273897,0.000000
60,29.228149,-37.460049,4423716.232069,2475184.440012,-3858045.378459,15.731799,0.000000
83,162.428785,0.262083,-6080485.609120,1925481.984234,28979.587666,0.273874,0.000000
101,162.454916,-0.326144,-6081328.475131,1922697.652863,-36062.986922,0.273892,0.000000
99,162.441790,-0.060168,-6080982.370526,1924120.692326,-6653.057277,0.273898,0.000000
57,11.409225,-48.850796,4121850.984002,831801.629830,-4779656.630976,8.680454,0.000000
65,-61.386253,-71.457706,974282.571036,-1785940.982741,-6024715.349374,2.284796,0.000000
115,162.435765,-0.083117,-6080776.966354,1924759.216220,-9190.568333,0.273894,0.000000
89,162.465759,-0.043274,-6081788.359770,1921577.187547,-4784.947894,0.273897,0.000000
83,162.570105,-0.018135,-6085279.239901,1910498.394428,-2005.240622,0.273953,0.000000
89,162.417055,-0.180642,-6080124.448159,1926737.299916,-19974.331001,0.273894,0.000000
107,162.454581,-0.377386,-6081284.061184,1922722.735579,-41728.941224,0.273882,0.000000
89,162.517654,-0.426333,-6083360.746198,1916015.754282,-47141.008882,0.273895,0.000000
54,1.685577,-30.144455,5517843.859145,162375.606858,-3184231.604565,8.529529,0.000000
